week,temp_c,precip_mm,humidity_pct,wind_speed_ms,ndvi,evi,ndwi,ndvi_observed,field_id,crop,growth_stage,phh2o,soc,clay,sand,nitrogen
2019-01-06,24.14109283333333,0.0,52.469636,2.2062774833333334,0.3486115310684497,0.2166412075306011,0.0545811622008596,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-01-13,24.95246242857143,0.0,46.71340585714285,1.9732037142857144,0.3357407834924553,0.2164771049458396,0.0581253268446395,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-01-20,24.868957571428574,0.0,48.78275657142857,2.1361162714285715,0.23468816249187008,0.17749425138414354,0.03655480903866225,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-01-27,25.86295442857143,0.349044796,50.97710214285714,1.2169015714285716,0.278937376817258,0.1783648988344519,-0.0030906349025166,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-02-03,25.831499428571426,7.965087984,58.62131571428571,1.9628005571428573,0.22717223110142237,0.1744198363574552,0.021662951650767,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-02-10,27.908260000000002,8.236885195,53.03794485714286,1.9102464514285715,0.2630706285376389,0.1764972328262215,-0.0224727815805683,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-02-17,28.270089285714285,0.031471253,52.71754557142857,2.314353457142857,0.2645302777071052,0.175604042155377,-0.0264058814743329,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-02-24,29.042964285714284,0.55217742,42.603719000000005,2.4739627142857143,0.26867196068487575,0.1766717194703311,-0.023896253238511203,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-03-03,29.412732714285713,4.875183,47.884494714285715,2.0847684,0.1239888201079065,0.1042121512731631,0.0579500376130497,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-03-10,30.449964285714284,0.658035292,52.462331285714285,2.0302903114285713,0.2221762616021581,0.1366499901098901,-0.0179110671228294,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-03-17,29.990025,0.44059753,35.79600457142857,2.308660342857143,0.2564670215268013,0.1743552964586391,-0.039946369675151,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-03-24,31.04063628571428,0.54645539,40.587197,1.7401870714285717,0.2227616591618957,0.1864646981587233,-0.0634997091275001,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-03-31,32.02131457142857,0.042915344,37.153711428571434,1.4890874114285713,0.2523364447802917,0.18250400416051676,-0.0437003283099471,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-04-07,32.44248342857143,0.286102299,37.84132557142857,1.3202044814285714,0.233335128589612,0.1716032646645623,-0.0292036176526338,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
2019-04-14,32.956647714285715,10.165214128,40.330359428571434,1.3156721471428572,0.24558010816529402,0.17376946617296415,-0.06149658975325985,1,F001,rice,1.0,71.02,259.61,292.74,468.01,187.54
