state,district,crop,season,year,geographic_level,final_yield_t_ha,yield_valid,yield_source_name,yield_source_url,yield_retrieved_date,district_id,canonical_district_name,administrative_boundary_notes,season_window_start,prediction_cutoff_date,weather_available,weather_source,weather_precip_mm_sum,weather_humidity_pct_mean,weather_wind_speed_ms_mean,weather_days_observed,weather_days_expected,satellite_available,satellite_source,satellite_ndvi_mean,satellite_evi_mean,satellite_ndwi_mean,satellite_scenes_observed,satellite_date_range_coverage,soil_available,soil_phh2o,soil_soc,soil_clay,soil_sand,soil_nitrogen,soil_source,rejection_reason,weather_temp_c_mean
Andhra Pradesh,ANANTAPUR,Rice,Kharif,1997,district,2.118,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1997-06-01,1997-11-30,False,data\raw\weather\districts\D0000_weather_daily.csv,,,,0,183,False,data\raw\satellite\districts\D0000_landsat.csv,,,,0,0.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,no weather or satellite match,
Andhra Pradesh,ANANTAPUR,Rice,Rabi,1997,district,2.0722,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1997-11-01,1998-04-30,False,data\raw\weather\districts\D0000_weather_daily.csv,,,,0,181,False,data\raw\satellite\districts\D0000_landsat.csv,,,,0,0.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,no weather or satellite match,
Andhra Pradesh,ANANTAPUR,Rice,Kharif,1998,district,2.5274,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1998-06-01,1998-11-30,False,data\raw\weather\districts\D0000_weather_daily.csv,,,,0,183,False,data\raw\satellite\districts\D0000_landsat.csv,,,,0,0.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,no weather or satellite match,
Andhra Pradesh,ANANTAPUR,Rice,Rabi,1998,district,2.4023,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1998-11-01,1999-04-30,False,data\raw\weather\districts\D0000_weather_daily.csv,,,,0,181,False,data\raw\satellite\districts\D0000_landsat.csv,,,,0,0.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,no weather or satellite match,
Andhra Pradesh,ANANTAPUR,Rice,Kharif,1999,district,2.766,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1999-06-01,1999-11-30,False,data\raw\weather\districts\D0000_weather_daily.csv,,,,0,183,False,data\raw\satellite\districts\D0000_landsat.csv,,,,0,0.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,no weather or satellite match,
Andhra Pradesh,ANANTAPUR,Rice,Rabi,1999,district,2.2544,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,1999-11-01,2000-04-30,True,data\raw\weather\districts\D0000_weather_daily.csv,57.39,44.12,1.804,121,182,True,data\raw\satellite\districts\D0000_landsat.csv,0.2249,0.144,-0.1445,8,0.665,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,,27.045
Andhra Pradesh,ANANTAPUR,Rice,Kharif,2000,district,2.949,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,2000-06-01,2000-11-30,True,data\raw\weather\districts\D0000_weather_daily.csv,585.34,69.81,3.322,183,183,True,data\raw\satellite\districts\D0000_landsat.csv,0.4041,0.2819,0.0246,12,1.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,,25.048
Andhra Pradesh,ANANTAPUR,Rice,Rabi,2000,district,2.59,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,2000-11-01,2001-04-30,True,data\raw\weather\districts\D0000_weather_daily.csv,70.73,47.99,1.955,181,181,True,data\raw\satellite\districts\D0000_landsat.csv,0.262,0.1664,-0.1181,29,1.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,,25.74
Andhra Pradesh,ANANTAPUR,Rice,Kharif,2001,district,2.908,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,2001-06-01,2001-11-30,True,data\raw\weather\districts\D0000_weather_daily.csv,569.34,68.37,3.57,183,183,True,data\raw\satellite\districts\D0000_landsat.csv,0.4628,0.3314,0.0625,7,1.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,,25.586
Andhra Pradesh,ANANTAPUR,Rice,Rabi,2001,district,2.857,True,"Government of India, Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare - District-wise, season-wise crop production statistics from 1997 (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-02,SD000,Anantapur,No known boundary issue for this district.,2001-11-01,2002-04-30,True,data\raw\weather\districts\D0000_weather_daily.csv,69.2,52.3,2.03,181,181,True,data\raw\satellite\districts\D0000_landsat.csv,0.2618,0.1717,-0.1167,21,1.0,True,72.0,180.0,313.0,447.0,131.0,ISRIC SoilGrids REST API v2.0,,25.471
