state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0,3.1471
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0,3.6145
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84,2.7
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17,1.734
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57,1.3708
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06,5.7703
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0,2.8571
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0,2.956
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0,2.7817
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62,2.7713
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118.0,2.9625
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82,2.9545
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7,2.927
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66,2.7261
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,Rice,8683.38,25870.98,2.9794
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,Rice,921.87,2539.64,2.7549
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Rice,1595.5,3788.0,2.3742
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400.0,2.118
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300.0,2.0722
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0,96800.0,2.5274
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0,63900.0,2.4023
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0,105082.0,2.766
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669.0,2.2544
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680.0,2.949
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236.0,2.59
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609.0,2.908
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906.0,2.857
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0,66329.0,2.282
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0,20462.0,1.867
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0,44891.0,2.563
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0,25463.0,2.352
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0,85051.0,3.495
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0,21622.0,2.34
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0,69972.0,2.798
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0,55587.0,2.402
Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349.0,67427.0,3.017
Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846.0,31974.0,2.948
Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000.0,95000.0,3.1667
Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000.0,37000.0,2.6429
Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306.0,94615.0,3.122
Andhra Pradesh,ANANTAPUR,2008,Rabi,Rice,18416.0,49815.0,2.705
Andhra Pradesh,ANANTAPUR,2009,Kharif,Rice,32226.0,101512.0,3.15
Andhra Pradesh,ANANTAPUR,2009,Rabi,Rice,19428.0,46899.0,2.414
Andhra Pradesh,ANANTAPUR,2010,Kharif,Rice,34973.0,102007.0,2.9167
Andhra Pradesh,ANANTAPUR,2010,Rabi,Rice,24828.0,69394.0,2.795
Andhra Pradesh,ANANTAPUR,2011,Kharif,Rice,37720.0,94531.0,2.5061
Andhra Pradesh,ANANTAPUR,2011,Rabi,Rice,10948.0,25542.0,2.333
Andhra Pradesh,ANANTAPUR,2012,Kharif,Rice,22056.0,58691.0,2.661
Andhra Pradesh,ANANTAPUR,2012,Rabi,Rice,6998.0,17768.0,2.539
Andhra Pradesh,ANANTAPUR,2013,Kharif,Rice,28114.0,59377.0,2.112
Andhra Pradesh,ANANTAPUR,2013,Rabi,Rice,12283.0,28558.0,2.325
Andhra Pradesh,ANANTAPUR,2014,Kharif,Rice,22658.0,68155.0,3.008
Andhra Pradesh,ANANTAPUR,2014,Rabi,Rice,6553.0,14377.0,2.194
Andhra Pradesh,ANANTAPUR,2014,Whole Year,Rice,29211.0,82532.0,2.8254
Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300.0,84400.0,1.9953
Andhra Pradesh,CHITTOOR,1997,Rabi,Rice,57400.0,137400.0,2.3937
