state,district,year,season,gross_cropped_area_ha,n_crops_grown,non_rice_cropped_area_ha,rice_area_ha,rice_area_share,n_rice_seasons,source_name,source_url,retrieved_date,geographic_level
Andhra Pradesh,ANANTAPUR,1997,Kharif,785200.0,17,749600.0,35600.0,0.04533876719307183,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1997,Rabi,117400.0,11,99400.0,18000.0,0.15332197614991483,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1998,Kharif,891000.0,15,852700.0,38300.0,0.04298540965207632,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1998,Rabi,109300.0,10,82700.0,26600.0,0.2433668801463861,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1998,Whole Year,800.0,2,800.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1999,Kharif,792965.0,13,754974.0,37991.0,0.0479100590820528,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1999,Rabi,94165.0,14,73907.0,20258.0,0.21513301120373812,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,1999,Whole Year,7853.0,3,7853.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2000,Kharif,946856.0,22,906951.0,39905.0,0.042144740066071294,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2000,Rabi,98623.0,17,76524.0,22099.0,0.22407551990914898,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2000,Whole Year,11326.0,9,11326.0,,,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
Andhra Pradesh,ANANTAPUR,2001,Kharif,909116.0,19,876238.0,32878.0,0.0361648018514689,2,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04,district
