source_district_name,source_state_as_printed,reporting_year,fasli,net_irrigated_area_ha,pct_net_irrigated_to_net_area_sown,area_irrigated_more_than_once_ha,gross_irrigated_area_ha,pct_gross_irrigated,irrigation_intensity_reported,unit,net_area_definition,source_table,source_file,status
SRIKAKULAM,Andhra Pradesh (undivided),2004-05,1414,182557.0,59.4,15055.0,197612.0,47.7,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
VIZIANAGARAM,Andhra Pradesh (undivided),2004-05,1414,142111.0,44.1,21611.0,163722.0,37.5,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
VISAKAHAPATNAM,Andhra Pradesh (undivided),2004-05,1414,99956.0,32.1,33848.0,133804.0,34.5,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
EAST GODAVARI,Andhra Pradesh (undivided),2004-05,1414,262840.0,63.7,192087.0,454927.0,62.3,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
WEST GODAVARI,Andhra Pradesh (undivided),2004-05,1414,358835.0,83.0,226015.0,584850.0,86.9,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
KRISHNA,Andhra Pradesh (undivided),2004-05,1414,301472.0,66.1,37841.0,339313.0,51.3,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
GUNTUR,Andhra Pradesh (undivided),2004-05,1414,330104.0,54.1,32689.0,362793.0,46.4,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
PRAKASHAM,Andhra Pradesh (undivided),2004-05,1414,151994.0,26.0,12559.0,164553.0,25.4,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
NELLORE,Andhra Pradesh (undivided),2004-05,1414,235981.0,71.8,21467.0,257448.0,69.9,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
CHITTOOR,Andhra Pradesh (undivided),2004-05,1414,126534.0,31.3,37340.0,163874.0,36.9,,hectares (stated: 'Area in Hectares'),Net area irrigated (no exclusion stated in the source),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",AP_Season_crop_2004-05_fasli1414.pdf,OBSERVED
