canonical_district_harvestwise,harvestwise_region,source_district_name,source_state_as_printed,source_table,mapping_type,justification,status,reporting_year,confidence
COIMBATORE,Tamil Nadu,Coimbatore,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
CUDDALORE,Tamil Nadu,Cuddalore,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
DHARMAPURI,Tamil Nadu,Dharmapuri,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,"Identical name. Krishnagiri was separated from Dharmapuri in 2004 and the source lists both districts separately, so the 2004-05 Dharmapuri figure already reflects the post-separation district.",OBSERVED,2004-05 (Fasli 1414),HIGH
DINDIGUL,Tamil Nadu,Dindigul,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
ERODE,Tamil Nadu,Erode,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,"Identical name. See boundary caveat: Tiruppur district was formed in 2009 partly from Erode, so the 2004-05 Erode extent is larger than the post-2009 Erode.",OBSERVED_WITH_BOUNDARY_CAVEAT,2004-05 (Fasli 1414),HIGH
KANCHEEPURAM,Tamil Nadu,Kancheepuram,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
KANNIYAKUMARI,Tamil Nadu,Kanyakumari,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",RENAMED,Documented transliteration variant of the same district; no boundary change and no value redistributed.,OBSERVED,2004-05 (Fasli 1414),HIGH
KARUR,Tamil Nadu,Karur,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
KRISHNAGIRI,Tamil Nadu,Krishnagiri,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,"Identical name. Krishnagiri was created from Dharmapuri in 2004 and appears as its own district in the 2004-05 source, so no reconstruction is required.",OBSERVED,2004-05 (Fasli 1414),HIGH
MADURAI,Tamil Nadu,Madurai,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
NAGAPATTINAM,Tamil Nadu,Nagapattinam,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
ARIYALUR,Tamil Nadu,,Tamil Nadu,"DES Tamil Nadu, Season and Crop Report 2004-05, TABLE III-B, Area Irrigated by Different Sources of Irrigation 04-05",UNMAPPABLE,"Ariyalur district was constituted in 2007 from Perambalur district and therefore does not exist in the 2004-05 source. Assigning Perambalur's values would redistribute a historical value across a boundary change, which is prohibited. No value is assigned, estimated, split or copied.",UNMAPPABLE_YEAR_NOT_COVERED,2004-05 (Fasli 1414),N/A - UNMAPPABLE
ANANTAPUR,Andhra Pradesh,ANANTHAPUR,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",RENAMED,Spelling variant of the same district.,OBSERVED,2004-05 (Fasli 1414),HIGH
CHITTOOR,Andhra Pradesh,CHITTOOR,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
EAST GODAVARI,Andhra Pradesh,EAST GODAVARI,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
GUNTUR,Andhra Pradesh,GUNTUR,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
KRISHNA,Andhra Pradesh,KRISHNA,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
KURNOOL,Andhra Pradesh,KURNOOL,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
PRAKASAM,Andhra Pradesh,PRAKASHAM,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",RENAMED,Spelling variant of the same district.,OBSERVED,2004-05 (Fasli 1414),HIGH
SRIKAKULAM,Andhra Pradesh,SRIKAKULAM,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
VIZIANAGARAM,Andhra Pradesh,VIZIANAGARAM,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
WEST GODAVARI,Andhra Pradesh,WEST GODAVARI,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name.,OBSERVED,2004-05 (Fasli 1414),HIGH
ADILABAD,Telangana,ADILABAD,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
HYDERABAD,Telangana,HYDERABAD,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
KARIMNAGAR,Telangana,KARIMNAGAR,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
KHAMMAM,Telangana,KHAMMAM,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
MAHBUBNAGAR,Telangana,MAHABOOBNAGAR,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",RENAMED,Spelling variant of the same district; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
MEDAK,Telangana,MEDAK,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
NALGONDA,Telangana,NALGONDA,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
NIZAMABAD,Telangana,NIZAMABAD,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",EXACT,Identical name; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
RANGAREDDI,Telangana,RANGAREDDY,Andhra Pradesh (undivided),"DES Andhra Pradesh, Season and Crop Report 2004-05/1414 Fasli, DETAILED TABLE III-B (Concld.), p.170",RENAMED,Spelling variant of the same district; reported under undivided AP in 2004-05.,OBSERVED,2004-05 (Fasli 1414),HIGH
