canonical_district,region,year,fasli,net_irrigated_area_ha,gross_irrigated_area_ha,area_irrigated_more_than_once_ha,net_area_sown_ha,pct_net_irrigated_to_net_area_sown,irrigation_intensity_reported,net_source,pct_source,unit_as_published,unit_conversion_applied,identity_gross_minus_more_equals_net,identity_intensity_check,source_district_name,source_publication,row_status
SRIKAKULAM,Andhra Pradesh,2004-05,1414,182557,197612,15055,,59.4,,published,published,hectares,none,True,,SRIKAKULAM,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
SRIKAKULAM,Andhra Pradesh,2011-12,1421,192000,220000,28000,319000,60.19,1.15,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Srikakulam,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
VIZIANAGARAM,Andhra Pradesh,2004-05,1414,142111,163722,21611,,44.1,,published,published,hectares,none,True,,VIZIANAGARAM,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
VIZIANAGARAM,Andhra Pradesh,2011-12,1421,147000,179000,32000,287000,51.22,1.22,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Vizianagaram,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
EAST GODAVARI,Andhra Pradesh,2004-05,1414,262840,454927,192087,,63.7,,published,published,hectares,none,True,,EAST GODAVARI,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
EAST GODAVARI,Andhra Pradesh,2011-12,1421,284000,435000,151000,419000,67.78,1.53,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,East Godavari,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
WEST GODAVARI,Andhra Pradesh,2004-05,1414,358835,584850,226015,,83.0,,published,published,hectares,none,True,,WEST GODAVARI,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
WEST GODAVARI,Andhra Pradesh,2011-12,1421,379000,598000,219000,471000,80.47,1.58,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,West Godavari,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
KRISHNA,Andhra Pradesh,2004-05,1414,301472,339313,37841,,66.1,,published,published,hectares,none,True,,KRISHNA,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
KRISHNA,Andhra Pradesh,2011-12,1421,323000,375000,52000,511000,63.21,1.16,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Krishna,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
GUNTUR,Andhra Pradesh,2004-05,1414,330104,362793,32689,,54.1,,published,published,hectares,none,True,,GUNTUR,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
GUNTUR,Andhra Pradesh,2011-12,1421,452000,527000,75000,638000,70.85,1.16,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Guntur,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
PRAKASAM,Andhra Pradesh,2004-05,1414,151994,164553,12559,,26.0,,published,published,hectares,none,True,,PRAKASHAM,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
PRAKASAM,Andhra Pradesh,2011-12,1421,233000,245000,12000,608000,38.32,1.05,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Prakasam,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
CHITTOOR,Andhra Pradesh,2004-05,1414,126534,163874,37340,,31.3,,published,published,hectares,none,True,,CHITTOOR,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
CHITTOOR,Andhra Pradesh,2011-12,1421,146000,193000,47000,355000,41.13,1.32,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Chittoor,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
ANANTAPUR,Andhra Pradesh,2004-05,1414,112147,141751,29604,,10.4,,published,published,hectares,none,True,,ANANTHAPUR,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
ANANTAPUR,Andhra Pradesh,2011-12,1421,142000,172000,30000,1049000,13.54,1.21,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Anantapur,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
KURNOOL,Andhra Pradesh,2004-05,1414,171701,203862,32161,,19.6,,published,published,hectares,none,True,,KURNOOL,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
KURNOOL,Andhra Pradesh,2011-12,1421,265000,299000,34000,875000,30.29,1.13,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Kurnool,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
MAHBUBNAGAR,Telangana,2004-05,1414,127324,159492,32168,,18.6,,published,published,hectares,none,True,,MAHABOOBNAGAR,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
MAHBUBNAGAR,Telangana,2011-12,1421,256000,330000,74000,864000,29.63,1.29,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Mahbubnagar,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
RANGAREDDI,Telangana,2004-05,1414,52659,70357,17698,,22.0,,published,published,hectares,none,True,,RANGAREDDY,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
RANGAREDDI,Telangana,2011-12,1421,77000,99000,22000,235000,32.77,1.28,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Ranga Reddy,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
HYDERABAD,Telangana,2004-05,1414,0,0,0,,0.0,,published,published,hectares,none,True,,HYDERABAD,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
HYDERABAD,Telangana,2011-12,1421,0,0,0,,,0.0,derived: gross - area_irrigated_more_than_once,computed: net/net_area_sown,'000 Hect.,x1000 ('000 Hect. -> hectares),True,True,Hyderabad,"DES AP, Districts at a Glance 2012, pp.17/22/23",ACCEPTED
MEDAK,Telangana,2004-05,1414,100934,144412,43478,,25.1,,published,published,hectares,none,True,,MEDAK,"DES AP, Season and Crop Report 2004-05, Table III-B (Concld.), p.170",ACCEPTED
