state,district,year,season,crop,area_ha,production_t,yield_t_ha
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400.0,2.118
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300.0,2.0722
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0,96800.0,2.5274
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0,63900.0,2.4023
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0,105082.0,2.766
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669.0,2.2544
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680.0,2.949
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236.0,2.59
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609.0,2.908
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906.0,2.857
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0,66329.0,2.282
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0,20462.0,1.867
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0,44891.0,2.563
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0,25463.0,2.352
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0,85051.0,3.495
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0,21622.0,2.34
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0,69972.0,2.798
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0,55587.0,2.402
Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349.0,67427.0,3.017
Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846.0,31974.0,2.948
Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000.0,95000.0,3.1667
Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000.0,37000.0,2.6429
Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306.0,94615.0,3.122
Andhra Pradesh,ANANTAPUR,2008,Rabi,Rice,18416.0,49815.0,2.705
Andhra Pradesh,ANANTAPUR,2009,Kharif,Rice,32226.0,101512.0,3.15
Andhra Pradesh,ANANTAPUR,2009,Rabi,Rice,19428.0,46899.0,2.414
Andhra Pradesh,ANANTAPUR,2010,Kharif,Rice,34973.0,102007.0,2.9167
Andhra Pradesh,ANANTAPUR,2010,Rabi,Rice,24828.0,69394.0,2.795
Andhra Pradesh,ANANTAPUR,2011,Kharif,Rice,37720.0,94531.0,2.5061
Andhra Pradesh,ANANTAPUR,2011,Rabi,Rice,10948.0,25542.0,2.333
Andhra Pradesh,ANANTAPUR,2012,Kharif,Rice,22056.0,58691.0,2.661
Andhra Pradesh,ANANTAPUR,2012,Rabi,Rice,6998.0,17768.0,2.539
Andhra Pradesh,ANANTAPUR,2013,Kharif,Rice,28114.0,59377.0,2.112
Andhra Pradesh,ANANTAPUR,2013,Rabi,Rice,12283.0,28558.0,2.325
Andhra Pradesh,ANANTAPUR,2014,Kharif,Rice,22658.0,68155.0,3.008
Andhra Pradesh,ANANTAPUR,2014,Rabi,Rice,6553.0,14377.0,2.194
Andhra Pradesh,ANANTAPUR,2014,Whole Year,Rice,29211.0,82532.0,2.8254
Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300.0,84400.0,1.9953
Andhra Pradesh,CHITTOOR,1997,Rabi,Rice,57400.0,137400.0,2.3937
Andhra Pradesh,CHITTOOR,1998,Kharif,Rice,42000.0,105400.0,2.5095
Andhra Pradesh,CHITTOOR,1998,Rabi,Rice,62400.0,159200.0,2.5513
Andhra Pradesh,CHITTOOR,1999,Kharif,Rice,37542.0,75477.0,2.0105
Andhra Pradesh,CHITTOOR,1999,Rabi,Rice,37489.0,76800.0,2.0486
Andhra Pradesh,CHITTOOR,2000,Kharif,Rice,33776.0,89236.0,2.642
Andhra Pradesh,CHITTOOR,2000,Rabi,Rice,41442.0,97181.0,2.345
Andhra Pradesh,CHITTOOR,2001,Kharif,Rice,24377.0,55311.0,2.269
Andhra Pradesh,CHITTOOR,2001,Rabi,Rice,62049.0,170573.0,2.749
Andhra Pradesh,CHITTOOR,2002,Kharif,Rice,20137.0,50020.0,2.484
Andhra Pradesh,CHITTOOR,2002,Rabi,Rice,30034.0,76827.0,2.558
Andhra Pradesh,CHITTOOR,2003,Kharif,Rice,18495.0,38562.0,2.085
Andhra Pradesh,CHITTOOR,2003,Rabi,Rice,27286.0,46714.0,1.712
Andhra Pradesh,CHITTOOR,2004,Kharif,Rice,19055.0,43331.0,2.274
Andhra Pradesh,CHITTOOR,2004,Rabi,Rice,25822.0,69177.0,2.679
Andhra Pradesh,CHITTOOR,2005,Kharif,Rice,16240.0,37173.0,2.289
Andhra Pradesh,CHITTOOR,2005,Rabi,Rice,66351.0,193612.0,2.918
Andhra Pradesh,CHITTOOR,2006,Kharif,Rice,17049.0,42520.0,2.494
Andhra Pradesh,CHITTOOR,2006,Rabi,Rice,29164.0,85101.0,2.918
Andhra Pradesh,CHITTOOR,2007,Kharif,Rice,15000.0,42000.0,2.8
Andhra Pradesh,CHITTOOR,2007,Rabi,Rice,37000.0,116000.0,3.1351
Andhra Pradesh,CHITTOOR,2008,Kharif,Rice,17596.0,46242.0,2.628
Andhra Pradesh,CHITTOOR,2008,Rabi,Rice,37927.0,118636.0,3.128
Andhra Pradesh,CHITTOOR,2009,Kharif,Rice,19758.0,56192.0,2.844
Andhra Pradesh,CHITTOOR,2009,Rabi,Rice,35155.0,113937.0,3.241
Andhra Pradesh,CHITTOOR,2010,Kharif,Rice,18019.0,53639.0,2.9768
Andhra Pradesh,CHITTOOR,2010,Rabi,Rice,43558.0,131502.0,3.019
Andhra Pradesh,CHITTOOR,2011,Kharif,Rice,17342.0,55719.0,3.213
Andhra Pradesh,CHITTOOR,2011,Rabi,Rice,33764.0,113211.0,3.353
Andhra Pradesh,CHITTOOR,2012,Kharif,Rice,12952.0,45241.0,3.493
Andhra Pradesh,CHITTOOR,2012,Rabi,Rice,34557.0,126168.0,3.651
Andhra Pradesh,CHITTOOR,2013,Kharif,Rice,15206.0,48766.0,3.207
Andhra Pradesh,CHITTOOR,2013,Rabi,Rice,34654.0,120249.0,3.47
Andhra Pradesh,CHITTOOR,2014,Kharif,Rice,13304.0,44462.0,3.342
Andhra Pradesh,CHITTOOR,2014,Rabi,Rice,27661.0,87962.0,3.18
Andhra Pradesh,CHITTOOR,2014,Whole Year,Rice,40965.0,132424.0,3.2326
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Rice,214100.0,429300.0,2.0051
Andhra Pradesh,EAST GODAVARI,1997,Rabi,Rice,154400.0,491500.0,3.1833
Andhra Pradesh,EAST GODAVARI,1998,Kharif,Rice,256300.0,386600.0,1.5084
Andhra Pradesh,EAST GODAVARI,1998,Rabi,Rice,157600.0,656600.0,4.1662
Andhra Pradesh,EAST GODAVARI,1999,Kharif,Rice,244655.0,628606.0,2.5694
Andhra Pradesh,EAST GODAVARI,1999,Rabi,Rice,161551.0,645162.0,3.9936
Andhra Pradesh,EAST GODAVARI,2000,Kharif,Rice,253966.0,683423.0,2.691
Andhra Pradesh,EAST GODAVARI,2000,Rabi,Rice,162861.0,683202.0,4.195
Andhra Pradesh,EAST GODAVARI,2001,Kharif,Rice,220811.0,579850.0,2.626
Andhra Pradesh,EAST GODAVARI,2001,Rabi,Rice,165779.0,750150.0,4.525
Andhra Pradesh,EAST GODAVARI,2002,Kharif,Rice,194809.0,551115.0,2.829
Andhra Pradesh,EAST GODAVARI,2002,Rabi,Rice,106427.0,491906.0,4.622
Andhra Pradesh,EAST GODAVARI,2003,Kharif,Rice,234673.0,762453.0,3.249
Andhra Pradesh,EAST GODAVARI,2003,Rabi,Rice,165321.0,869092.0,5.257
Andhra Pradesh,EAST GODAVARI,2004,Kharif,Rice,224521.0,743614.0,3.312
Andhra Pradesh,EAST GODAVARI,2004,Rabi,Rice,162903.0,766296.0,4.704
Andhra Pradesh,EAST GODAVARI,2005,Kharif,Rice,217411.0,348727.0,1.604
Andhra Pradesh,EAST GODAVARI,2005,Rabi,Rice,170012.0,800927.0,4.711
Andhra Pradesh,EAST GODAVARI,2006,Kharif,Rice,227930.0,547716.0,2.403
Andhra Pradesh,EAST GODAVARI,2006,Rabi,Rice,168963.0,845829.0,5.006
Andhra Pradesh,EAST GODAVARI,2007,Kharif,Rice,242000.0,715000.0,2.9545
Andhra Pradesh,EAST GODAVARI,2007,Rabi,Rice,169000.0,803000.0,4.7515
Andhra Pradesh,EAST GODAVARI,2008,Kharif,Rice,240231.0,716609.0,2.983
Andhra Pradesh,EAST GODAVARI,2008,Rabi,Rice,169861.0,796648.0,4.69
Andhra Pradesh,EAST GODAVARI,2009,Kharif,Rice,202153.0,616567.0,3.05
Andhra Pradesh,EAST GODAVARI,2009,Rabi,Rice,104423.0,456537.0,4.372
Andhra Pradesh,EAST GODAVARI,2010,Kharif,Rice,237640.0,457704.0,1.926
Andhra Pradesh,EAST GODAVARI,2010,Rabi,Rice,172888.0,849917.0,4.916
Andhra Pradesh,EAST GODAVARI,2011,Kharif,Rice,197445.0,589741.0,2.9869
Andhra Pradesh,EAST GODAVARI,2011,Rabi,Rice,139649.0,587084.0,4.204
Andhra Pradesh,EAST GODAVARI,2012,Kharif,Rice,232300.0,355651.0,1.531
Andhra Pradesh,EAST GODAVARI,2012,Rabi,Rice,168756.0,746239.0,4.422
Andhra Pradesh,EAST GODAVARI,2013,Kharif,Rice,235159.0,434104.0,1.846
Andhra Pradesh,EAST GODAVARI,2013,Rabi,Rice,169523.0,777602.0,4.587
Andhra Pradesh,EAST GODAVARI,2014,Kharif,Rice,226072.0,681833.0,3.016
Andhra Pradesh,EAST GODAVARI,2014,Rabi,Rice,168045.0,881396.0,5.245
Andhra Pradesh,EAST GODAVARI,2014,Whole Year,Rice,394117.0,1563229.0,3.9664
Andhra Pradesh,GUNTUR,1997,Kharif,Rice,295000.0,845300.0,2.8654
Andhra Pradesh,GUNTUR,1997,Rabi,Rice,14500.0,51800.0,3.5724
Andhra Pradesh,GUNTUR,1998,Kharif,Rice,298400.0,921400.0,3.0878
Andhra Pradesh,GUNTUR,1998,Rabi,Rice,29100.0,99900.0,3.433
Andhra Pradesh,GUNTUR,1999,Kharif,Rice,302886.0,969414.0,3.2006
Andhra Pradesh,GUNTUR,1999,Rabi,Rice,14822.0,53167.0,3.587
Andhra Pradesh,GUNTUR,2000,Kharif,Rice,292899.0,987363.0,3.371
Andhra Pradesh,GUNTUR,2000,Rabi,Rice,12692.0,49600.0,3.908
Andhra Pradesh,GUNTUR,2001,Kharif,Rice,272468.0,935110.0,3.432
Andhra Pradesh,GUNTUR,2001,Rabi,Rice,44917.0,181060.0,4.031
Andhra Pradesh,GUNTUR,2002,Kharif,Rice,202953.0,646811.0,3.187
Andhra Pradesh,GUNTUR,2002,Rabi,Rice,2716.0,7385.0,2.7191
Andhra Pradesh,GUNTUR,2003,Kharif,Rice,170487.0,482990.0,2.833
Andhra Pradesh,GUNTUR,2003,Rabi,Rice,5772.0,16837.0,2.917
Andhra Pradesh,GUNTUR,2004,Kharif,Rice,240404.0,833961.0,3.469
Andhra Pradesh,GUNTUR,2004,Rabi,Rice,21247.0,70922.0,3.338
Andhra Pradesh,GUNTUR,2005,Kharif,Rice,288879.0,892636.0,3.09
Andhra Pradesh,GUNTUR,2005,Rabi,Rice,31434.0,111559.0,3.549
Andhra Pradesh,GUNTUR,2006,Kharif,Rice,288638.0,783941.0,2.716
Andhra Pradesh,GUNTUR,2006,Rabi,Rice,28933.0,100947.0,3.489
Andhra Pradesh,GUNTUR,2007,Kharif,Rice,283000.0,976000.0,3.4488
Andhra Pradesh,GUNTUR,2007,Rabi,Rice,24000.0,85000.0,3.5417
Andhra Pradesh,GUNTUR,2008,Kharif,Rice,281491.0,959321.0,3.408
Andhra Pradesh,GUNTUR,2008,Rabi,Rice,51358.0,187662.0,3.654
Andhra Pradesh,GUNTUR,2009,Kharif,Rice,190526.0,683226.0,3.586
Andhra Pradesh,GUNTUR,2009,Rabi,Rice,112342.0,383423.0,3.413
Andhra Pradesh,GUNTUR,2010,Kharif,Rice,271072.0,649760.0,2.397
Andhra Pradesh,GUNTUR,2010,Rabi,Rice,58393.0,201806.0,3.456
Andhra Pradesh,GUNTUR,2011,Kharif,Rice,281790.0,1080921.0,3.8359
Andhra Pradesh,GUNTUR,2011,Rabi,Rice,11012.0,39060.0,3.547
Andhra Pradesh,GUNTUR,2012,Kharif,Rice,174699.0,607778.0,3.479
Andhra Pradesh,GUNTUR,2012,Rabi,Rice,8362.0,29903.0,3.5761
Andhra Pradesh,GUNTUR,2013,Kharif,Rice,280060.0,912716.0,3.259
Andhra Pradesh,GUNTUR,2013,Rabi,Rice,48107.0,183288.0,3.81
Andhra Pradesh,GUNTUR,2014,Kharif,Rice,255607.0,1000190.0,3.913
Andhra Pradesh,GUNTUR,2014,Rabi,Rice,29695.0,111742.0,3.763
Andhra Pradesh,GUNTUR,2014,Whole Year,Rice,285302.0,1111932.0,3.8974
Andhra Pradesh,KADAPA,1997,Kharif,Rice,47700.0,77500.0,1.6247
Andhra Pradesh,KADAPA,1997,Rabi,Rice,13000.0,27700.0,2.1308
Andhra Pradesh,KADAPA,1998,Kharif,Rice,59200.0,169800.0,2.8682
Andhra Pradesh,KADAPA,1998,Rabi,Rice,17000.0,41600.0,2.4471
Andhra Pradesh,KADAPA,1999,Kharif,Rice,54783.0,134484.0,2.4548
Andhra Pradesh,KADAPA,1999,Rabi,Rice,6828.0,12921.0,1.8924
Andhra Pradesh,KADAPA,2000,Kharif,Rice,60412.0,170120.0,2.816
Andhra Pradesh,KADAPA,2000,Rabi,Rice,7426.0,6134.0,0.826
Andhra Pradesh,KADAPA,2001,Kharif,Rice,38218.0,96883.0,2.535
Andhra Pradesh,KADAPA,2001,Rabi,Rice,37550.0,98231.0,2.616
Andhra Pradesh,KADAPA,2002,Kharif,Rice,27457.0,56424.0,2.055
Andhra Pradesh,KADAPA,2002,Rabi,Rice,9203.0,16446.0,1.787
Andhra Pradesh,KADAPA,2003,Kharif,Rice,23356.0,60025.0,2.57
