district,year,area_kar,area_samba,area_navarai,area_total,prod_kar,prod_samba,prod_navarai,prod_total,yield_kar,yield_samba,yield_navarai,yield_total
Chennai,2019,20,90,9,119,,,,,,,,
Kancheepuram,2019,4421,15284,18786,38491,22705,78277,101977,202959,5132,5120,5428,5271
Chengalpattu,2019,5140,15846,27852,48838,26030,75099,129248,230377,5064,4739,4640,4717
Thiruvallur,2019,18297,51567,26745,96609,90737,207074,121916,419727,4955,4009,4557,4340
Cuddalore,2019,34829,89245,8077,132151,137820,325393,32096,495309,3957,3646,3974,3748
Villupuram,2019,5245,70339,30460,106044,23867,297489,123276,444632,4550,4229,4047,4193
Kallakurichi,2019,1764,42520,12965,57249,7720,170562,58969,237251,4376,4011,4548,4144
Vellore,2019,962,2079,4553,7594,3948,7567,19592,31107,4104,3641,4303,4097
Ranipet,2019,3713,9193,20515,33421,17373,41492,97046,155911,4679,4513,4730,4665
Tirupathur,2019,296,2929,1329,4554,1215,10662,5719,17596,4104,3641,4303,3864
Tiruvannamalai,2019,11356,88153,62170,161679,46903,382922,259644,689469,4130,4344,4176,4264
Salem,2019,295,15141,4154,19590,1211,65898,17484,84593,4104,4352,4209,4318
Namakkal,2019,608,9103,842,10553,2495,41616,3623,47734,4104,4572,4303,4523
Dharmapuri,2019,8,13229,2575,15812,38,56481,11272,67791,4733,4269,4378,4287
Krishnagiri,2019,2922,14019,6627,23568,14195,63317,33176,110688,4857,4516,5007,4697
Coimbatore,2019,11,733,117,861,48,2667,504,3219,4104,3641,4303,3737
Tiruppur,2019,,9185,664,9849,,44903,2857,47760,,4889,4303,4849
Erode,2019,306,26756,7505,34567,1257,124038,32297,157592,4104,4636,4303,4559
Tiruchirapalli,2019,3522,43131,2970,49623,18508,179810,11824,210142,5254,4169,3981,4235
Karur,2019,,10862,268,11130,,37843,1154,38997,,3484,4303,3504
Perambalur,2019,60,3710,2392,6162,247,16448,10293,26988,4104,4434,4303,4380
Ariyalur,2019,2448,20379,397,23224,8348,79599,1709,89656,3410,3906,4303,3861
Pudukkottai,2019,4072,79902,3835,87809,15182,246039,11967,273188,3728,3079,3121,3111
Thanjavur,2019,37085,135102,20044,192231,139259,494543,81310,715112,3755,3661,4057,3720
Tiruvarur,2019,22685,148477,9738,180900,89389,527607,42283,659279,3940,3553,4342,3644
Nagapattinam,2019,36665,132169,388,169222,140038,416902,1669,558609,3819,3154,4303,3301
Madurai,2019,658,32096,7714,40468,2699,134887,28330,165916,4104,4203,3673,4100
Theni,2019,641,6618,1671,8930,2633,26844,7191,36668,4104,4056,4303,4106
Dindigul,2019,217,3424,4499,8140,891,14468,21577,36936,4104,4225,4796,4537
Ramanathapuram,2019,,127288,,127288,,321481,,321481,,2526,,2526
Virudhunagar,2019,151,19755,4586,24492,618,64568,17595,82781,4104,3268,3837,3380
Sivagangai,2019,131,69423,817,70371,537,184267,3512,188316,4104,2654,4303,2676
Tirunelveli,2019,930,17599,21276,39805,4116,76591,87356,168063,4428,4352,4106,4222
Tenkasi,2019,1366,25538,12500,39404,5346,97842,44117,147305,3915,3831,3529,3738
Thoothukudi,2019,497,4121,10901,15519,2041,15207,40259,57507,4104,3690,3693,3705
The Nilgiris,2019,170,,,170,698,,,698,4104,,,4104
Kanniyakumari,2019,5044,5877,49,10970,19580,24012,212,43804,3882,4086,4303,3993
