district,year,area_ha_total,production_tonnes_total,yield_kg_ha_combined,cross_check_calc_production_t,diff_t
Ariyalur,2024,26540,93905,3538,93899,-6
Chengalpattu,2024,59151,228635,3865,228619,-16
Chennai,2024,98,320,3267,320,0
Coimbatore,2024,1042,3615,3469,3615,0
Cuddalore,2024,146517,404324,2760,404387,63
Dharmapuri,2024,27636,112042,4054,112036,-6
Dindigul,2024,14234,48504,3408,48509,5
Erode,2024,29736,119485,4018,119479,-6
Kallakurichi,2024,55972,214635,3835,214653,18
Kancheepuram,2024,55117,206906,3754,206909,3
Kanniyakumari,2024,11277,43246,3835,43247,1
Karur,2024,14722,54501,3702,54501,0
Krishnagiri,2024,30808,112143,3640,112141,-2
Madurai,2024,58619,192634,3286,192622,-12
Mayiladuthurai,2024,108130,332769,3077,332716,-53
Nagapattinam,2024,67999,177549,2611,177545,-4
Namakkal,2024,10392,40528,3900,40529,1
Perambalur,2024,8241,32553,3950,32552,-1
Pudukkottai,2024,94173,310179,3294,310206,27
Ramanathapuram,2024,142849,280846,1966,280841,-5
Ranipet,2024,52464,191485,3650,191494,9
Salem,2024,23889,99171,4151,99163,-8
Sivagangai,2024,82173,237686,2892,237644,-42
Tenkasi,2024,44469,163828,3684,163824,-4
Thanjavur,2024,209532,665523,3176,665474,-49
The Nilgiris,2024,82,246,3008,247,1
Theni,2024,13706,58781,4289,58785,4
Thoothukudi,2024,12665,45834,3619,45835,1
Tiruchirapalli,2024,67931,260087,3829,260108,21
Tirunelveli,2024,41347,168212,4068,168200,-12
Tirupathur,2024,8242,32545,3949,32548,3
Tiruppur,2024,10253,44712,4361,44713,1
Tiruvallur,2024,104492,372227,3562,372201,-26
Tiruvannamalai,2024,185095,689741,3726,689664,-77
Tiruvarur,2024,195952,617781,3153,617837,56
Vellore,2024,10171,33226,3267,33229,3
Villupuram,2024,101445,318076,3135,318030,-46
Virudhunagar,2024,30594,85340,2789,85327,-13
