state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Tamil Nadu,KANCHEEPURAM,Rice,Whole Year,2019,38491,202959,5.271,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,CHENGALPATTU,Rice,Whole Year,2019,48838,230377,4.717,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THIRUVALLUR,Rice,Whole Year,2019,96609,419727,4.34,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,CUDDALORE,Rice,Whole Year,2019,132151,495309,3.748,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,VILLUPURAM,Rice,Whole Year,2019,106044,444632,4.193,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,KALLAKURICHI,Rice,Whole Year,2019,57249,237251,4.144,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,VELLORE,Rice,Whole Year,2019,7594,31107,4.097,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,RANIPET,Rice,Whole Year,2019,33421,155911,4.665,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUPATHUR,Rice,Whole Year,2019,4554,17596,3.864,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUVANNAMALAI,Rice,Whole Year,2019,161679,689469,4.264,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,SALEM,Rice,Whole Year,2019,19590,84593,4.318,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,NAMAKKAL,Rice,Whole Year,2019,10553,47734,4.523,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,DHARMAPURI,Rice,Whole Year,2019,15812,67791,4.287,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,KRISHNAGIRI,Rice,Whole Year,2019,23568,110688,4.697,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,COIMBATORE,Rice,Whole Year,2019,861,3219,3.737,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUPPUR,Rice,Whole Year,2019,9849,47760,4.849,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,ERODE,Rice,Whole Year,2019,34567,157592,4.559,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUCHIRAPALLI,Rice,Whole Year,2019,49623,210142,4.235,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,KARUR,Rice,Whole Year,2019,11130,38997,3.504,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,PERAMBALUR,Rice,Whole Year,2019,6162,26988,4.38,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,ARIYALUR,Rice,Whole Year,2019,23224,89656,3.861,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,PUDUKKOTTAI,Rice,Whole Year,2019,87809,273188,3.111,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THANJAVUR,Rice,Whole Year,2019,192231,715112,3.72,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUVARUR,Rice,Whole Year,2019,180900,659279,3.644,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,NAGAPATTINAM,Rice,Whole Year,2019,169222,558609,3.301,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,MADURAI,Rice,Whole Year,2019,40468,165916,4.1,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THENI,Rice,Whole Year,2019,8930,36668,4.106,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,DINDIGUL,Rice,Whole Year,2019,8140,36936,4.537,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,RAMANATHAPURAM,Rice,Whole Year,2019,127288,321481,2.526,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,VIRUDHUNAGAR,Rice,Whole Year,2019,24492,82781,3.38,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,SIVAGANGAI,Rice,Whole Year,2019,70371,188316,2.676,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TIRUNELVELI,Rice,Whole Year,2019,39805,168063,4.222,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,TENKASI,Rice,Whole Year,2019,39404,147305,3.738,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THOOTHUKUDI,Rice,Whole Year,2019,15519,57507,3.705,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,THE NILGIRIS,Rice,Whole Year,2019,170,698,4.104,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,KANNIYAKUMARI,Rice,Whole Year,2019,10970,43804,3.993,t/ha,district,Tamil Nadu Agriculture Department (AGRISNET / TNAGRISNET),https://www.tnagrisnet.tn.gov.in/dashboard/report/05_05.pdf,2026-09-03
Tamil Nadu,ARIYALUR,Rice,Whole Year,2024,26540,93905,3.538,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,CHENGALPATTU,Rice,Whole Year,2024,59151,228635,3.865,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,CHENNAI,Rice,Whole Year,2024,98,320,3.267,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
Tamil Nadu,COIMBATORE,Rice,Whole Year,2024,1042,3615,3.469,t/ha,district,"Tamil Nadu Directorate of Economics and Statistics, Season and Crop Report 2024-25",https://www.tn.gov.in/crop/stat.htm,2026-09-03
