state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Tamil Nadu,ARIYALUR,Rice,Kharif,2009,25978.0,80462.0,3.0973,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,ARIYALUR,Rice,Kharif,2010,25211.0,97869.0,3.882,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,ARIYALUR,Rice,Kharif,2011,24097.0,97257.0,4.0361,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,ARIYALUR,Rice,Kharif,2012,17523.0,36392.0,2.0768,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2000,12170.0,47066.0,3.8674,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2001,10548.0,37200.0,3.5267,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2002,6577.0,22152.0,3.3681,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2003,3654.0,10643.0,2.9127,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2004,7239.0,24454.0,3.3781,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2005,7406.0,20665.0,2.7903,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2006,6221.0,24009.0,3.8593,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2007,6479.0,24456.0,3.7747,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2008,2573.0,25437.0,9.8861,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2009,2817.0,9884.0,3.5087,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2010,2666.0,10419.0,3.9081,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2011,2629.0,10486.0,3.9886,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,COIMBATORE,Rice,Kharif,2012,2156.0,7890.0,3.6596,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,CUDDALORE,Rice,Kharif,2000,123804.0,472024.0,3.8127,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
Tamil Nadu,CUDDALORE,Rice,Kharif,2001,108375.0,402810.0,3.7168,t/ha,district,"District-wise, season-wise crop production statistics - Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-04
