state,district,year,season,crop,area_ha,production_t,yield_t_ha
Telangana,ADILABAD,1997,Kharif,Rice,30600.0,29100.0,0.951
Telangana,ADILABAD,1997,Rabi,Rice,5200.0,12400.0,2.3846
Telangana,ADILABAD,1998,Kharif,Rice,66400.0,152300.0,2.2937
Telangana,ADILABAD,1998,Rabi,Rice,12200.0,33500.0,2.7459
Telangana,ADILABAD,1999,Kharif,Rice,66388.0,162451.0,2.447
Telangana,ADILABAD,1999,Rabi,Rice,10980.0,26616.0,2.424
Telangana,ADILABAD,2000,Kharif,Rice,70645.0,146235.0,2.07
Telangana,ADILABAD,2000,Rabi,Rice,6828.0,21023.0,3.0789
Telangana,ADILABAD,2001,Kharif,Rice,67358.0,150343.0,2.232
Telangana,ADILABAD,2001,Rabi,Rice,9786.0,23398.0,2.391
Telangana,ADILABAD,2002,Kharif,Rice,71657.0,110710.0,1.545
Telangana,ADILABAD,2002,Rabi,Rice,5137.0,11188.0,2.1779
Telangana,ADILABAD,2003,Kharif,Rice,74851.0,184732.0,2.468
Telangana,ADILABAD,2003,Rabi,Rice,6069.0,16016.0,2.639
Telangana,ADILABAD,2004,Kharif,Rice,35637.0,54133.0,1.519
Telangana,ADILABAD,2004,Rabi,Rice,3984.0,8749.0,2.196
Telangana,ADILABAD,2005,Kharif,Rice,69284.0,178198.0,2.572
Telangana,ADILABAD,2005,Rabi,Rice,9466.0,22586.0,2.386
Telangana,ADILABAD,2006,Kharif,Rice,64743.0,155318.0,2.399
Telangana,ADILABAD,2006,Rabi,Rice,9019.0,22548.0,2.5001
Telangana,ADILABAD,2007,Kharif,Rice,40000.0,96000.0,2.4
Telangana,ADILABAD,2007,Rabi,Rice,12000.0,28000.0,2.3333
Telangana,ADILABAD,2008,Kharif,Rice,54506.0,133049.0,2.441
Telangana,ADILABAD,2008,Rabi,Rice,22788.0,65333.0,2.867
Telangana,ADILABAD,2009,Kharif,Rice,37878.0,75264.0,1.987
Telangana,ADILABAD,2009,Rabi,Rice,10240.0,23235.0,2.269
Telangana,ADILABAD,2010,Kharif,Rice,62903.0,175263.0,2.7862
Telangana,ADILABAD,2010,Rabi,Rice,27644.0,79891.0,2.89
Telangana,ADILABAD,2011,Kharif,Rice,60681.0,151310.0,2.4935
Telangana,ADILABAD,2011,Rabi,Rice,15489.0,48016.0,3.1
Telangana,ADILABAD,2013,Kharif,Rice,65502.0,175303.0,2.6763
Telangana,ADILABAD,2013,Rabi,Rice,25191.0,73608.0,2.922
Telangana,ADILABAD,2014,Kharif,Rice,36084.0,81003.0,2.2448
Telangana,ADILABAD,2014,Rabi,Rice,13996.0,45123.0,3.224
Telangana,HYDERABAD,1997,Kharif,Rice,100.0,100.0,1.0
Telangana,HYDERABAD,1997,Rabi,Rice,100.0,100.0,1.0
Telangana,HYDERABAD,1998,Kharif,Rice,100.0,200.0,2.0
Telangana,HYDERABAD,1998,Rabi,Rice,100.0,200.0,2.0
Telangana,HYDERABAD,1999,Kharif,Rice,25.0,60.0,2.4
Telangana,HYDERABAD,1999,Rabi,Rice,12.0,29.0,2.4167
Telangana,HYDERABAD,2000,Kharif,Rice,16.0,46.0,2.875
Telangana,KARIMNAGAR,1997,Kharif,Rice,103000.0,287900.0,2.7951
Telangana,KARIMNAGAR,1997,Rabi,Rice,67600.0,185800.0,2.7485
Telangana,KARIMNAGAR,1998,Kharif,Rice,135000.0,413100.0,3.06
Telangana,KARIMNAGAR,1998,Rabi,Rice,123300.0,423400.0,3.4339
Telangana,KARIMNAGAR,1999,Kharif,Rice,140930.0,435474.0,3.09
Telangana,KARIMNAGAR,1999,Rabi,Rice,91605.0,288647.0,3.151
Telangana,KARIMNAGAR,2000,Kharif,Rice,162729.0,508854.0,3.127
Telangana,KARIMNAGAR,2000,Rabi,Rice,108608.0,376544.0,3.467
Telangana,KARIMNAGAR,2001,Kharif,Rice,141154.0,429108.0,3.04
Telangana,KARIMNAGAR,2001,Rabi,Rice,103207.0,332223.0,3.219
Telangana,KARIMNAGAR,2002,Kharif,Rice,133365.0,345015.0,2.587
Telangana,KARIMNAGAR,2002,Rabi,Rice,48545.0,152965.0,3.151
Telangana,KARIMNAGAR,2003,Kharif,Rice,122858.0,395726.0,3.221
Telangana,KARIMNAGAR,2003,Rabi,Rice,64718.0,206321.0,3.188
Telangana,KARIMNAGAR,2004,Kharif,Rice,65453.0,147989.0,2.261
Telangana,KARIMNAGAR,2004,Rabi,Rice,18182.0,50382.0,2.771
Telangana,KARIMNAGAR,2005,Kharif,Rice,146979.0,501639.0,3.413
Telangana,KARIMNAGAR,2005,Rabi,Rice,119417.0,410675.0,3.439
Telangana,KARIMNAGAR,2006,Kharif,Rice,166750.0,521094.0,3.125
Telangana,KARIMNAGAR,2006,Rabi,Rice,166759.0,548470.0,3.289
Telangana,KARIMNAGAR,2007,Kharif,Rice,130000.0,441000.0,3.3923
Telangana,KARIMNAGAR,2007,Rabi,Rice,152000.0,545000.0,3.5855
Telangana,KARIMNAGAR,2008,Kharif,Rice,160406.0,543135.0,3.386
Telangana,KARIMNAGAR,2008,Rabi,Rice,175551.0,632861.0,3.605
Telangana,KARIMNAGAR,2009,Kharif,Rice,84886.0,274182.0,3.23
Telangana,KARIMNAGAR,2009,Rabi,Rice,77439.0,239209.0,3.089
Telangana,KARIMNAGAR,2010,Kharif,Rice,159548.0,523465.0,3.2809
Telangana,KARIMNAGAR,2010,Rabi,Rice,221971.0,828396.0,3.732
Telangana,KARIMNAGAR,2011,Kharif,Rice,185727.0,601858.0,3.2406
Telangana,KARIMNAGAR,2011,Rabi,Rice,157649.0,518192.0,3.287
Telangana,KARIMNAGAR,2013,Kharif,Rice,209454.0,732042.0,3.495
Telangana,KARIMNAGAR,2013,Rabi,Rice,208458.0,768793.0,3.688
Telangana,KARIMNAGAR,2014,Kharif,Rice,179282.0,632136.0,3.5259
Telangana,KARIMNAGAR,2014,Rabi,Rice,99151.0,358827.0,3.619
Telangana,KHAMMAM,1997,Kharif,Rice,121100.0,251900.0,2.0801
Telangana,KHAMMAM,1997,Rabi,Rice,8600.0,16900.0,1.9651
Telangana,KHAMMAM,1998,Kharif,Rice,160700.0,439400.0,2.7343
Telangana,KHAMMAM,1998,Rabi,Rice,24900.0,68900.0,2.7671
Telangana,KHAMMAM,1999,Kharif,Rice,166514.0,373491.0,2.243
Telangana,KHAMMAM,1999,Rabi,Rice,11001.0,26523.0,2.411
Telangana,KHAMMAM,2000,Kharif,Rice,172538.0,470856.0,2.729
Telangana,KHAMMAM,2000,Rabi,Rice,10773.0,33439.0,3.104
Telangana,KHAMMAM,2001,Kharif,Rice,98756.0,254988.0,2.582
Telangana,KHAMMAM,2001,Rabi,Rice,39506.0,137639.0,3.484
Telangana,KHAMMAM,2002,Kharif,Rice,98920.0,169054.0,1.709
Telangana,KHAMMAM,2002,Rabi,Rice,4974.0,12037.0,2.42
Telangana,KHAMMAM,2003,Kharif,Rice,130159.0,377591.0,2.901
Telangana,KHAMMAM,2003,Rabi,Rice,11949.0,34891.0,2.92
Telangana,KHAMMAM,2004,Kharif,Rice,136374.0,387848.0,2.844
Telangana,KHAMMAM,2004,Rabi,Rice,26222.0,86244.0,3.289
Telangana,KHAMMAM,2005,Kharif,Rice,159480.0,410342.0,2.573
Telangana,KHAMMAM,2005,Rabi,Rice,40611.0,120615.0,2.97
Telangana,KHAMMAM,2006,Kharif,Rice,155691.0,383000.0,2.46
Telangana,KHAMMAM,2006,Rabi,Rice,22510.0,65121.0,2.893
Telangana,KHAMMAM,2007,Kharif,Rice,146000.0,450000.0,3.0822
Telangana,KHAMMAM,2007,Rabi,Rice,30000.0,98000.0,3.2667
Telangana,KHAMMAM,2008,Kharif,Rice,158279.0,477686.0,3.018
Telangana,KHAMMAM,2008,Rabi,Rice,36520.0,117923.0,3.229
Telangana,KHAMMAM,2009,Kharif,Rice,48475.0,109408.0,2.257
Telangana,KHAMMAM,2009,Rabi,Rice,54625.0,197087.0,3.608
Telangana,KHAMMAM,2010,Kharif,Rice,167037.0,522924.0,3.1306
Telangana,KHAMMAM,2010,Rabi,Rice,51215.0,181147.0,3.537
Telangana,KHAMMAM,2011,Kharif,Rice,150051.0,366113.0,2.4399
Telangana,KHAMMAM,2011,Rabi,Rice,15263.0,45575.0,2.986
Telangana,KHAMMAM,2013,Kharif,Rice,148142.0,432575.0,2.92
Telangana,KHAMMAM,2013,Rabi,Rice,43642.0,142709.0,3.27
Telangana,KHAMMAM,2014,Kharif,Rice,110439.0,328435.0,2.9739
Telangana,KHAMMAM,2014,Rabi,Rice,35269.0,127744.0,3.622
Telangana,MAHBUBNAGAR,1997,Kharif,Rice,53200.0,100700.0,1.8929
Telangana,MAHBUBNAGAR,1997,Rabi,Rice,39800.0,78200.0,1.9648
Telangana,MAHBUBNAGAR,1998,Kharif,Rice,72100.0,141200.0,1.9584
Telangana,MAHBUBNAGAR,1998,Rabi,Rice,74700.0,150500.0,2.0147
Telangana,MAHBUBNAGAR,1999,Kharif,Rice,92732.0,154677.0,1.668
Telangana,MAHBUBNAGAR,1999,Rabi,Rice,40342.0,71083.0,1.762
Telangana,MAHBUBNAGAR,2000,Kharif,Rice,116763.0,290973.0,2.492
Telangana,MAHBUBNAGAR,2000,Rabi,Rice,49701.0,140455.0,2.826
Telangana,MAHBUBNAGAR,2001,Kharif,Rice,76057.0,184210.0,2.422
Telangana,MAHBUBNAGAR,2001,Rabi,Rice,61122.0,143576.0,2.349
Telangana,MAHBUBNAGAR,2002,Kharif,Rice,76711.0,155340.0,2.025
Telangana,MAHBUBNAGAR,2002,Rabi,Rice,33636.0,67339.0,2.002
Telangana,MAHBUBNAGAR,2003,Kharif,Rice,66350.0,161231.0,2.43
Telangana,MAHBUBNAGAR,2003,Rabi,Rice,33146.0,69375.0,2.093
Telangana,MAHBUBNAGAR,2004,Kharif,Rice,58491.0,132716.0,2.269
Telangana,MAHBUBNAGAR,2004,Rabi,Rice,25314.0,57083.0,2.255
Telangana,MAHBUBNAGAR,2005,Kharif,Rice,73651.0,181402.0,2.463
Telangana,MAHBUBNAGAR,2005,Rabi,Rice,54500.0,139139.0,2.553
Telangana,MAHBUBNAGAR,2006,Kharif,Rice,74466.0,181697.0,2.44
Telangana,MAHBUBNAGAR,2006,Rabi,Rice,35176.0,86287.0,2.453
Telangana,MAHBUBNAGAR,2007,Kharif,Rice,102000.0,297000.0,2.9118
Telangana,MAHBUBNAGAR,2007,Rabi,Rice,46000.0,128000.0,2.7826
Telangana,MAHBUBNAGAR,2008,Kharif,Rice,96411.0,285569.0,2.962
Telangana,MAHBUBNAGAR,2008,Rabi,Rice,48322.0,135640.0,2.807
Telangana,MAHBUBNAGAR,2009,Kharif,Rice,95390.0,216726.0,2.272
Telangana,MAHBUBNAGAR,2009,Rabi,Rice,68468.0,184384.0,2.693
Telangana,MAHBUBNAGAR,2010,Kharif,Rice,130411.0,360230.0,2.7623
Telangana,MAHBUBNAGAR,2010,Rabi,Rice,66287.0,185537.0,2.799
Telangana,MAHBUBNAGAR,2011,Kharif,Rice,120826.0,266609.0,2.2066
Telangana,MAHBUBNAGAR,2011,Rabi,Rice,51242.0,129950.0,2.536
Telangana,MAHBUBNAGAR,2013,Kharif,Rice,103744.0,301561.0,2.9068
Telangana,MAHBUBNAGAR,2013,Rabi,Rice,64886.0,177139.0,2.73
Telangana,MAHBUBNAGAR,2014,Kharif,Rice,111302.0,282357.0,2.5369
Telangana,MAHBUBNAGAR,2014,Rabi,Rice,49468.0,135740.0,2.744
Telangana,MEDAK,1997,Kharif,Rice,47700.0,83500.0,1.7505
Telangana,MEDAK,1997,Rabi,Rice,25700.0,51600.0,2.0078
Telangana,MEDAK,1998,Kharif,Rice,70700.0,172100.0,2.4342
Telangana,MEDAK,1998,Rabi,Rice,52100.0,131400.0,2.5221
Telangana,MEDAK,1999,Kharif,Rice,78489.0,159097.0,2.027
Telangana,MEDAK,1999,Rabi,Rice,34338.0,63285.0,1.843
Telangana,MEDAK,2000,Kharif,Rice,85328.0,214003.0,2.508
Telangana,MEDAK,2000,Rabi,Rice,37841.0,122226.0,3.23
Telangana,MEDAK,2001,Kharif,Rice,76008.0,190704.0,2.509
Telangana,MEDAK,2001,Rabi,Rice,32440.0,85642.0,2.64
Telangana,MEDAK,2002,Kharif,Rice,59589.0,125852.0,2.112
Telangana,MEDAK,2002,Rabi,Rice,17738.0,31183.0,1.758
Telangana,MEDAK,2003,Kharif,Rice,63923.0,164218.0,2.569
Telangana,MEDAK,2003,Rabi,Rice,22380.0,51787.0,2.314
Telangana,MEDAK,2004,Kharif,Rice,49327.0,95546.0,1.937
Telangana,MEDAK,2004,Rabi,Rice,13134.0,28934.0,2.203
Telangana,MEDAK,2005,Kharif,Rice,59452.0,171519.0,2.885
Telangana,MEDAK,2005,Rabi,Rice,25821.0,75810.0,2.936
Telangana,MEDAK,2006,Kharif,Rice,63532.0,166136.0,2.615
Telangana,MEDAK,2006,Rabi,Rice,38446.0,109110.0,2.838
Telangana,MEDAK,2007,Kharif,Rice,58000.0,164000.0,2.8276
Telangana,MEDAK,2007,Rabi,Rice,35000.0,118000.0,3.3714
Telangana,MEDAK,2008,Kharif,Rice,78658.0,206477.0,2.625
Telangana,MEDAK,2008,Rabi,Rice,45254.0,150967.0,3.336
Telangana,MEDAK,2009,Kharif,Rice,49470.0,133272.0,2.694
Telangana,MEDAK,2009,Rabi,Rice,33645.0,99421.0,2.955
Telangana,MEDAK,2010,Kharif,Rice,81914.0,285893.0,3.4902
Telangana,MEDAK,2010,Rabi,Rice,62644.0,229026.0,3.656
Telangana,MEDAK,2011,Kharif,Rice,90400.0,285575.0,3.159
Telangana,MEDAK,2011,Rabi,Rice,46632.0,121383.0,2.603
Telangana,MEDAK,2013,Kharif,Rice,108639.0,393985.0,3.6266
Telangana,MEDAK,2013,Rabi,Rice,62331.0,230500.0,3.698
Telangana,MEDAK,2014,Kharif,Rice,73983.0,234342.0,3.1675
Telangana,MEDAK,2014,Rabi,Rice,36910.0,128742.0,3.488
Telangana,NALGONDA,1997,Kharif,Rice,149100.0,369500.0,2.4782
Telangana,NALGONDA,1997,Rabi,Rice,62600.0,150300.0,2.401
Telangana,NALGONDA,1998,Kharif,Rice,164300.0,491600.0,2.9921
Telangana,NALGONDA,1998,Rabi,Rice,153700.0,431500.0,2.8074
Telangana,NALGONDA,1999,Kharif,Rice,175702.0,420279.0,2.392
Telangana,NALGONDA,1999,Rabi,Rice,63295.0,155769.0,2.461
Telangana,NALGONDA,2000,Kharif,Rice,176488.0,560173.0,3.174
Telangana,NALGONDA,2000,Rabi,Rice,85813.0,236243.0,2.753
Telangana,NALGONDA,2001,Kharif,Rice,142660.0,395739.0,2.774
Telangana,NALGONDA,2001,Rabi,Rice,76927.0,199010.0,2.587
Telangana,NALGONDA,2002,Kharif,Rice,94008.0,210954.0,2.244
Telangana,NALGONDA,2002,Rabi,Rice,37660.0,86656.0,2.301
Telangana,NALGONDA,2003,Kharif,Rice,62982.0,188631.0,2.995
Telangana,NALGONDA,2003,Rabi,Rice,60026.0,169513.0,2.824
Telangana,NALGONDA,2004,Kharif,Rice,117401.0,330836.0,2.818
Telangana,NALGONDA,2004,Rabi,Rice,75291.0,224292.0,2.979
Telangana,NALGONDA,2005,Kharif,Rice,160332.0,456145.0,2.845
Telangana,NALGONDA,2005,Rabi,Rice,150365.0,482521.0,3.209
Telangana,NALGONDA,2006,Kharif,Rice,160003.0,414568.0,2.591
Telangana,NALGONDA,2006,Rabi,Rice,124273.0,391336.0,3.149
Telangana,NALGONDA,2007,Kharif,Rice,163000.0,516000.0,3.1656
Telangana,NALGONDA,2007,Rabi,Rice,148000.0,474000.0,3.2027
Telangana,NALGONDA,2008,Kharif,Rice,193718.0,602657.0,3.111
Telangana,NALGONDA,2008,Rabi,Rice,168094.0,547650.0,3.258
Telangana,NALGONDA,2009,Kharif,Rice,98690.0,319262.0,3.235
Telangana,NALGONDA,2009,Rabi,Rice,174740.0,599708.0,3.432
Telangana,NALGONDA,2010,Kharif,Rice,206149.0,642566.0,3.117
Telangana,NALGONDA,2010,Rabi,Rice,199166.0,681148.0,3.42
Telangana,NALGONDA,2011,Kharif,Rice,216547.0,634050.0,2.928
Telangana,NALGONDA,2011,Rabi,Rice,111214.0,329750.0,2.965
Telangana,NALGONDA,2013,Kharif,Rice,192185.0,546190.0,2.842
Telangana,NALGONDA,2013,Rabi,Rice,201558.0,659095.0,3.27
Telangana,NALGONDA,2014,Kharif,Rice,177458.0,549765.0,3.098
Telangana,NALGONDA,2014,Rabi,Rice,145917.0,491594.0,3.369
Telangana,NIZAMABAD,1997,Kharif,Rice,81600.0,135100.0,1.6556
Telangana,NIZAMABAD,1997,Rabi,Rice,20600.0,49100.0,2.3835
Telangana,NIZAMABAD,1998,Kharif,Rice,108400.0,308000.0,2.8413
Telangana,NIZAMABAD,1998,Rabi,Rice,50100.0,127800.0,2.5509
Telangana,NIZAMABAD,1999,Kharif,Rice,115922.0,295946.0,2.553
Telangana,NIZAMABAD,1999,Rabi,Rice,54336.0,136332.0,2.5091
Telangana,NIZAMABAD,2000,Kharif,Rice,130502.0,333694.0,2.557
Telangana,NIZAMABAD,2000,Rabi,Rice,50212.0,164344.0,3.273
Telangana,NIZAMABAD,2001,Kharif,Rice,122016.0,303088.0,2.484
Telangana,NIZAMABAD,2001,Rabi,Rice,36156.0,97296.0,2.691
Telangana,NIZAMABAD,2002,Kharif,Rice,89863.0,140096.0,1.559
Telangana,NIZAMABAD,2002,Rabi,Rice,17668.0,40566.0,2.296
Telangana,NIZAMABAD,2003,Kharif,Rice,73668.0,229181.0,3.111
Telangana,NIZAMABAD,2003,Rabi,Rice,17702.0,53177.0,3.004
Telangana,NIZAMABAD,2004,Kharif,Rice,60268.0,135422.0,2.247
Telangana,NIZAMABAD,2004,Rabi,Rice,13127.0,33815.0,2.576
Telangana,NIZAMABAD,2005,Kharif,Rice,98831.0,344130.0,3.482
Telangana,NIZAMABAD,2005,Rabi,Rice,50708.0,161860.0,3.192
Telangana,NIZAMABAD,2006,Kharif,Rice,114358.0,361714.0,3.163
Telangana,NIZAMABAD,2006,Rabi,Rice,53292.0,177143.0,3.324
Telangana,NIZAMABAD,2007,Kharif,Rice,71000.0,254000.0,3.5775
Telangana,NIZAMABAD,2007,Rabi,Rice,57000.0,199000.0,3.4912
Telangana,NIZAMABAD,2008,Kharif,Rice,111687.0,407769.0,3.651
Telangana,NIZAMABAD,2008,Rabi,Rice,78339.0,271836.0,3.47
Telangana,NIZAMABAD,2009,Kharif,Rice,75732.0,245978.0,3.248
Telangana,NIZAMABAD,2009,Rabi,Rice,45538.0,143080.0,3.142
Telangana,NIZAMABAD,2010,Kharif,Rice,116729.0,427496.0,3.6623
