state,district,crop,season,year,area_ha,production_tonnes,final_yield_t_ha,yield_unit,geographic_level,source_name,source_url,retrieved_date
Telangana,ADILABAD,Rice,Kharif,1997,30600.0,29100.0,0.951,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Rabi,1997,5200.0,12400.0,2.3846,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Kharif,1998,66400.0,152300.0,2.2937,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Rabi,1998,12200.0,33500.0,2.7459,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Kharif,1999,66388.0,162451.0,2.447,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Rabi,1999,10980.0,26616.0,2.424,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Kharif,2000,70645.0,146235.0,2.07,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Rabi,2000,6828.0,21023.0,3.0789,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Kharif,2001,67358.0,150343.0,2.232,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
Telangana,ADILABAD,Rice,Rabi,2001,9786.0,23398.0,2.391,t/ha,district,"Government of India, Ministry of Agriculture and Farmers Welfare (via data.gov.in)",https://api.data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de,2026-09-03
