Sur_yr,Cult_id/Hhid/Vdsid,Plot_code,crop,area_acres,yield_kg,sow_date,harvest_date,yield_t_ha,days_to_harvest
2010,IBH10A0030,A,Wheat,0.3,400.0,2010-12-05,2011-04-18,3.2946215303517015,134
2010,IBH10A0030,B,Wheat,0.3,350.0,2010-12-07,2011-04-20,2.8827938390577383,134
2010,IBH10A0030,C,Wheat,0.24,280.0,2010-12-06,2011-04-22,2.882793839057739,137
2010,IBH10A0030,CB,Paddy,0.24,480.0,2010-08-06,2010-11-15,4.941932295527551,101
2010,IBH10A0030,D,Wheat,0.12,80.0,2010-12-05,2011-04-16,1.6473107651758505,132
2010,IBH10A0031,C,Wheat,0.21,200.0,2010-11-23,2011-04-23,2.353301093108358,151
2010,IBH10A0032,A,Wheat,0.53,600.0,2010-11-16,2011-04-10,2.7973201672797456,145
2010,IBH10A0032,AB,Paddy,0.53,800.0,2010-08-12,2010-11-16,3.729760223039661,96
2010,IBH10A0032,B,Wheat,0.15,120.0,2010-11-17,2011-04-15,1.9767729182110205,149
2010,IBH10A0032,C,Paddy,0.27,500.0,2010-08-12,2011-03-20,4.575863236599584,220
2010,IBH10A0032,D,Paddy,0.15,370.0,2010-07-03,2010-11-18,6.095049831150647,138
2010,IBH10A0034,B,Wheat,0.2,420.0,2010-11-22,2011-04-16,5.189028910303928,145
2010,IBH10A0037,A,Paddy,0.21,750.0,2010-12-02,2011-04-24,8.824879099156343,143
2010,IBH10A0037,B,Wheat,0.1,120.0,2010-12-02,2011-04-22,2.9651593773165303,141
2010,IBH10A0037,D,Paddy,0.12,320.0,2010-12-11,2011-04-23,6.589243060703402,133
2010,IBH10A0038,B,Wheat,0.3,400.0,2010-12-07,2011-04-18,3.2946215303517015,132
2010,IBH10A0038,C,Wheat,0.24,320.0,2010-12-05,2011-04-18,3.294621530351701,134
2010,IBH10A0039,A,Paddy,0.23,350.0,2010-08-13,2010-11-27,3.760165877031832,106
2010,IBH10A0039,B,Wheat,0.13,160.0,2010-12-15,2011-04-18,3.0411891049400315,124
2010,IBH10A0039,C,Wheat,0.22,240.0,2010-12-15,2011-04-21,2.6955994339241185,127
2010,IBH10A0039,D,Paddy,0.07,90.0,2010-08-13,2010-11-26,3.1769564756962825,105
2010,IBH10A0039,E,Paddy,0.23,590.0,2010-08-13,2010-11-27,6.338565335567945,106
2010,IBH10A0040,H,Paddy,0.1,200.0,2010-08-15,2011-02-25,4.94193229552755,194
2010,IBH10A0040,J,Wheat,0.18,200.0,2010-12-08,2011-04-18,2.745517941959751,131
2010,IBH10A0040,K,Wheat,1.03,1500.0,2010-11-17,2011-04-23,3.598494389947246,157
2010,IBH10A0040,L,Wheat,0.31,300.0,2010-11-22,2011-04-24,2.3912575623520405,153
2010,IBH10A0040,M,Wheat,0.46,480.0,2010-11-23,2011-04-18,2.578399458536113,146
2010,IBH10A0040,N,Wheat,0.31,320.0,2010-11-25,2011-04-22,2.55067473317551,148
2010,IBH10A0041,C,Paddy,0.72,1800.0,2010-08-20,2010-11-25,6.17741536940944,97
2010,IBH10A0041,F,Wheat,0.42,500.0,2010-11-28,2011-04-22,2.9416263663854476,145
2010,IBH10A0042,B,Wheat,0.6,600.0,2010-12-16,2011-04-12,2.4709661477637757,117
2010,IBH10A0042,BB,Paddy,0.6,800.0,2010-08-21,2010-11-22,3.2946215303517015,93
2010,IBH10A0042,D,Paddy,0.3,700.0,2010-08-11,2010-11-20,5.765587678115477,101
2010,IBH10A0043,BA,Paddy,0.24,300.0,2010-08-07,2010-11-25,3.08870768470472,110
2010,IBH10A0043,C,Paddy,0.14,150.0,2010-08-20,2010-11-22,2.647463729746902,94
2010,IBH10A0043,D,Paddy,0.15,550.0,2010-07-10,2010-11-22,9.060209208467178,135
2010,IBH10A0044,A,Wheat,0.24,320.0,2010-11-15,2011-04-15,3.294621530351701,151
2010,IBH10A0044,B,Wheat,0.16,160.0,2010-08-05,2010-11-25,2.4709661477637757,112
2010,IBH10A0044,F,Wheat,0.24,340.0,2010-12-06,2011-04-18,3.5005353759986826,133
2010,IBH10A0045,A,Wheat,0.58,800.0,2010-12-10,2011-04-15,3.408229169329346,126
2010,IBH10A0045,AB,Paddy,0.58,1000.0,2010-08-22,2010-11-22,4.260286461661682,92
2010,IBH10A0045,E,Paddy,0.3,400.0,2010-12-10,2011-03-25,3.2946215303517015,105
2010,IBH10A0045,I,Wheat,0.24,380.0,2010-11-28,2011-04-15,3.9123630672926453,138
2010,IBH10A0047,B,Paddy,0.36,1190.0,2010-12-16,2011-04-22,8.167915877330259,127
2010,IBH10A0047,E,Paddy,0.15,420.0,2010-08-12,2010-11-25,6.918705213738572,105
2010,IBH10A0047,FA,Paddy,0.15,200.0,2010-08-10,2010-11-25,3.2946215303517015,107
2010,IBH10A0047,I,Paddy,0.54,1600.0,2010-08-13,2010-11-26,7.321381178559335,105
2010,IBH10A0048,A,Paddy,0.78,2100.0,2010-12-12,2011-04-18,6.65260116705632,127
2010,IBH10A0048,B,Paddy,1.24,1400.0,2010-07-28,2010-11-25,2.789800489410714,120
2010,IBH10A0048,BC,Wheat,0.96,1500.0,2010-12-10,2011-04-20,3.8608846058808997,131
2010,IBH10A0048,C,Paddy,0.28,360.0,2010-08-04,2010-11-27,3.1769564756962825,115
2010,IBH10A0049,D,Paddy,0.22,450.0,2010-08-04,2010-11-28,5.0542489386077225,116
2010,IBH10A0049,E,Paddy,0.14,310.0,2010-08-04,2010-11-29,5.471425041476931,117
2010,IBH10A0049,GA,Paddy,0.15,180.0,2010-08-20,2010-11-26,2.965159377316531,98
2010,IBH10A0049,L,Wheat,0.11,160.0,2010-12-18,2011-04-20,3.5941325785654916,123
2010,IBH10A0050,A,Wheat,0.62,720.0,2010-11-25,2011-04-18,2.8695090748224485,144
2010,IBH10A0050,B,Wheat,1.38,2000.0,2010-11-22,2011-04-16,3.581110359077936,145
2010,IBH10A0050,CB,Wheat,3.0,4000.0,2010-11-25,2011-04-22,3.294621530351701,148
2010,IBH10A0050,E,Wheat,0.67,800.0,2010-11-16,2011-04-22,2.9504073406134634,157
2010,IBH10A0051,B,Wheat,0.62,600.0,2010-12-04,2011-04-17,2.3912575623520405,134
2010,IBH10A0051,C,Wheat,0.62,640.0,2010-12-09,2011-04-11,2.55067473317551,123
2010,IBH10A0051,CB,Paddy,0.62,800.0,2010-08-05,2010-11-22,3.1883434164693876,109
2010,IBH10A0051,E,Wheat,0.31,280.0,2010-12-05,2011-04-18,2.2318403915285714,134
2010,IBH10A0052,C,Wheat,0.36,480.0,2010-11-03,2011-04-15,3.294621530351701,163
2010,IBH10A0053,D,Wheat,0.3,400.0,2010-11-03,2011-04-10,3.2946215303517015,158
2010,IBH10A0053,N,Paddy,0.36,400.0,2010-08-10,2010-11-24,2.745517941959751,106
2010,IBH10A0054,A,Wheat,1.12,1200.0,2010-12-09,2011-04-15,2.647463729746902,127
2010,IBH10A0054,AB,Paddy,1.12,1700.0,2010-07-27,2010-11-22,3.7505736171414448,118
2010,IBH10A0054,C,Wheat,0.45,480.0,2010-12-25,2011-04-05,2.6356972242813606,101
