hh_key,PLOT_CO,sow_date,harvest_date,crop_name,area_acres,yield_kg,village,district,state,days_to_harvest,yield_t_ha
MHA0001,AA,2009-07-13,2009-11-25,Pigeonpea,2.0,125.0,Kalman,Solapur,Maharashtra,135,0.15443538423523598
MHA0001,AB,2009-10-11,2010-02-12,Sorghum,3.5,270.0,Kalman,Solapur,Maharashtra,124,0.19061738854177698
MHA0001,B,2009-07-15,2009-12-18,Pigeonpea,3.0,360.0,Kalman,Solapur,Maharashtra,156,0.2965159377316531
MHA0007,A,2009-10-09,2010-02-20,Sorghum,2.0,850.0,Kalman,Solapur,Maharashtra,134,1.0501606127996046
MHA0030,B,2009-10-13,2010-02-23,Chickpea,3.25,1390.0,Kalman,Solapur,Maharashtra,133,1.0568132139666608
MHA0032,A,2009-10-15,2010-02-10,Sorghum,5.0,220.0,Kalman,Solapur,Maharashtra,118,0.10872251050160614
MHA0032,B,2009-07-06,2009-11-18,Pigeonpea,4.0,700.0,Kalman,Solapur,Maharashtra,135,0.4324190758586607
MHA0032,C,2009-07-12,2009-11-20,Pigeonpea,4.0,600.0,Kalman,Solapur,Maharashtra,131,0.37064492216456635
MHA0032,DCA,2009-07-11,2009-11-07,Lady'S Finger,0.5,400.0,Kalman,Solapur,Maharashtra,119,1.9767729182110205
MHA0032,DCB,2009-07-13,2009-11-09,Cluster Bean,0.5,467.0,Kalman,Solapur,Maharashtra,119,2.3078823820113668
MHA0032,DCC,2009-07-16,2009-11-20,Onion,0.5,804.0,Kalman,Solapur,Maharashtra,127,3.9733135656041516
MHA0032,DCD,2009-09-12,2010-02-15,Chickpea,0.5,675.0,Kalman,Solapur,Maharashtra,156,3.3358042994810972
MHA0032,DCE,2009-10-17,2010-02-16,Sorghum,1.0,255.0,Kalman,Solapur,Maharashtra,122,0.6300963676797627
MHA0032,EB,2009-10-11,2010-02-19,Blackgram,1.5,670.0,Kalman,Solapur,Maharashtra,131,1.1036982126678199
MHA0032,EC,2009-10-19,2010-02-25,Sorghum,2.25,525.0,Kalman,Solapur,Maharashtra,129,0.5765587678115477
MHA0032,FA,2009-05-13,2009-11-25,Chillies,0.5,607.0,Kalman,Solapur,Maharashtra,196,2.9997529033852235
MHA0032,FBA,2009-07-17,2009-10-30,Maize,0.5,110.0,Kalman,Solapur,Maharashtra,105,0.5436125525080306
MHA0032,FBB,2009-07-29,2009-11-30,Cluster Bean,0.5,390.0,Kalman,Solapur,Maharashtra,124,1.927353595255745
MHA0032,FBC,2009-10-24,2010-02-07,Maize,0.5,310.0,Kalman,Solapur,Maharashtra,106,1.531999011613541
MHA0033,A,2009-10-13,2010-02-22,Sorghum,1.0,210.0,Kalman,Solapur,Maharashtra,132,0.5189028910303929
MHA0033,B,2009-10-13,2010-02-18,Sorghum,1.0,165.0,Kalman,Solapur,Maharashtra,128,0.407709414381023
MHA0033,C,2009-10-15,2010-02-26,Sorghum,1.0,125.0,Kalman,Solapur,Maharashtra,134,0.30887076847047196
MHA0034,A,2009-10-12,2010-02-19,Sorghum,2.0,365.0,Kalman,Solapur,Maharashtra,130,0.45095132196688903
MHA0034,BA,2009-07-15,2009-11-20,Pigeonpea,1.0,70.0,Kalman,Solapur,Maharashtra,128,0.1729676303434643
MHA0034,C,2009-12-15,2010-03-31,Lady'S Finger,1.5,2185.0,Kalman,Solapur,Maharashtra,106,3.5993740219092336
MHA0035,A,2009-07-11,2009-12-01,Pigeonpea,1.0,315.0,Kalman,Solapur,Maharashtra,143,0.7783543365455893
MHA0036,BA,2009-07-17,2009-11-20,Cluster Bean,0.25,610.0,Kalman,Solapur,Maharashtra,126,6.029157400543612
MHA0036,BB,2009-07-18,2009-11-07,Cluster Bean,0.25,470.0,Kalman,Solapur,Maharashtra,112,4.645416357795898
MHA0036,BC,2009-08-13,2009-12-19,Onion,1.0,3900.0,Kalman,Solapur,Maharashtra,128,9.636767976278724
MHA0036,BD,2009-10-17,2010-03-02,Sorghum,2.5,650.0,Kalman,Solapur,Maharashtra,136,0.6424511984185818
MHA0037,A,2009-07-10,2009-11-30,Pigeonpea,3.0,515.0,Kalman,Solapur,Maharashtra,143,0.4241825220327815
MHA0039,A,2009-10-18,2010-02-28,Sorghum,2.5,625.0,Kalman,Solapur,Maharashtra,133,0.6177415369409439
MHA0039,B,2009-10-19,2010-03-04,Sorghum,3.0,275.0,Kalman,Solapur,Maharashtra,136,0.22650523021167945
MHA0040,BA,2009-07-07,2009-11-15,Pigeonpea,0.5,56.0,Kalman,Solapur,Maharashtra,131,0.27674820854954285
MHA0040,BB,2009-07-07,2009-11-28,Cowpea,1.5,72.0,Kalman,Solapur,Maharashtra,144,0.11860637509266123
MHA0040,BC,2009-07-12,2009-11-02,Maize,1.0,610.0,Kalman,Solapur,Maharashtra,113,1.507289350135903
MHA0040,BD,2009-07-19,2009-11-07,Cluster Bean,0.5,700.0,Kalman,Solapur,Maharashtra,111,3.4593526068692855
MHA0040,DA,2009-07-19,2009-11-25,Pigeonpea,0.5,25.0,Kalman,Solapur,Maharashtra,129,0.12354830738818878
MHA0040,DB,2009-08-03,2009-12-25,Cluster Bean,1.0,760.0,Kalman,Solapur,Maharashtra,144,1.8779342723004695
MHA0040,DC,2009-08-07,2009-11-16,Lady'S Finger,0.5,210.0,Kalman,Solapur,Maharashtra,101,1.0378057820607858
MHA0041,AA,2009-07-13,2009-11-28,Pigeonpea,1.0,105.0,Kalman,Solapur,Maharashtra,138,0.25945144551519644
MHA0041,AB,2009-10-20,2010-03-10,Sorghum,2.0,550.0,Kalman,Solapur,Maharashtra,141,0.6795156906350384
MHA0042,AA,2009-07-15,2009-12-01,Pigeonpea,2.0,415.0,Kalman,Solapur,Maharashtra,139,0.5127254756609834
MHA0042,AB,2009-10-18,2010-03-01,Sorghum,2.5,850.0,Kalman,Solapur,Maharashtra,134,0.8401284902396837
MHA0044,AA,2009-07-13,2009-12-15,Pigeonpea,0.5,160.0,Kalman,Solapur,Maharashtra,155,0.7907091672844082
MHA0044,AB,2009-10-12,2010-02-12,Sorghum,0.5,135.0,Kalman,Solapur,Maharashtra,123,0.6671608598962194
MHA0044,B,2009-07-15,2009-12-05,Pigeonpea,1.0,285.0,Kalman,Solapur,Maharashtra,143,0.704225352112676
MHA0044,C,2009-10-11,2010-02-16,Chickpea,2.0,675.0,Kalman,Solapur,Maharashtra,128,0.8339510748702743
MHA0046,AA,2009-07-17,2009-12-19,Pigeonpea,0.75,310.0,Kalman,Solapur,Maharashtra,155,1.0213326744090272
MHA0046,AB,2009-07-29,2009-12-05,Onion,0.5,1652.0,Kalman,Solapur,Maharashtra,129,8.164072152211514
MHA0046,AC,2009-10-16,2010-02-25,Sorghum,2.25,465.0,Kalman,Solapur,Maharashtra,132,0.5106663372045136
MHA0046,BA,2009-07-18,2009-11-21,Pigeonpea,1.5,116.0,Kalman,Solapur,Maharashtra,126,0.19108804876039867
MHA0046,BBA,2009-10-17,2010-02-21,Sorghum,1.25,210.0,Kalman,Solapur,Maharashtra,127,0.41512231282431433
