date,mean_ndvi,mean_evi,mean_ndwi,cloud_cover_pct,collection_id,sensor_name,satellite_platform,observation_year,composite_start_date,composite_end_date,image_count,valid_pixel_count,district_cropland_pixels,coverage_fraction
2000-01-30,0.4744470888447237,0.31545921021522444,0.05951337201959363,3,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,90476,193353.0,0.46793
2000-02-07,0.37706180342965856,0.32530918094225,0.05298458661451095,45,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2000,2000-01-01,2012-12-31,1,12751,193353.0,0.06595
2000-04-03,0.34753689445369074,0.25930815347512237,-0.058780723315236025,14,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,43089,193353.0,0.22285
2000-05-05,0.26606881559711554,0.19105954798018385,-0.07374028484239885,2,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,93037,193353.0,0.48118
2000-05-12,0.25316342592882035,0.1612162025420918,-0.1078455041114168,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,177565,193353.0,0.91835
2000-07-15,0.3891669833317336,0.2716100196837684,0.01715740447395011,13,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,165237,193353.0,0.85459
2000-09-10,0.47389930749476816,0.35096309054445496,0.12018482119211127,3,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,90248,193353.0,0.46675
2000-10-28,0.5371248629106429,0.37163557783199397,0.12199703668066703,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,94471,193353.0,0.48859
2000-11-04,0.557680432301095,0.3764425481023267,0.1764319557633294,44,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,71172,193353.0,0.36809
2000-11-20,0.4535149659649415,0.3298063743685438,0.1541030971383201,52,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,110525,193353.0,0.57162
2000-12-06,0.5112202690328314,0.31945192590893184,0.13509110066094662,10,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,75892,193353.0,0.3925
2000-12-15,0.4448984113891329,0.29301854663217086,0.07553054728661927,11,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2000,2000-01-01,2012-12-31,1,81101,193353.0,0.41945
2001-02-24,0.39319908952761456,0.24524014048634993,-0.006175757765068307,0,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,176376,193353.0,0.9122
2001-03-04,0.3663341859272977,0.22959420774976705,-0.023013642181569333,0,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,168481,193353.0,0.87136
2001-03-21,0.3178708476533929,0.21807112781932445,-0.07484585408799743,1,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,84665,193353.0,0.43788
2001-04-22,0.33588370180276733,0.2402938334413578,-0.07176519225318062,3,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,86743,193353.0,0.44863
2001-04-29,0.25895881628559336,0.25369221051181995,-0.050405106974162284,17,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,108393,193353.0,0.5606
2001-04-30,0.2454909009728968,0.2086159491201474,-0.027643983735447703,52,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,7773,193353.0,0.0402
2001-05-23,0.32084020730102963,0.20290911954963436,-0.03406597842264926,1,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,178354,193353.0,0.92243
2001-06-01,0.3310135542302269,0.2515311033053806,-0.00208766539377335,38,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,104857,193353.0,0.54231
2001-06-08,0.3656152967490282,0.26147333961639485,0.024310470981614683,23,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,142363,193353.0,0.73629
2001-07-03,0.32195544181082014,0.2366831597704179,-0.02692234999047845,5,LANDSAT/LT05/C02/T1_L2,Landsat 5 TM,LANDSAT_5,2001,2000-01-01,2012-12-31,1,108008,193353.0,0.55861
2001-08-28,0.4272621480664039,0.3356348739964251,0.10732762850513396,43,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,45357,193353.0,0.23458
2001-09-04,0.4540834557509244,0.3181056262884157,0.07939392957855694,7,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,145114,193353.0,0.75051
2001-09-13,0.4564934014512865,0.343960853437293,0.0946658997451469,43,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,79540,193353.0,0.41137
2001-10-31,0.550023534945912,0.38056150982737613,0.16106723416960023,13,LANDSAT/LE07/C02/T1_L2,Landsat 7 ETM+,LANDSAT_7,2001,2000-01-01,2012-12-31,1,81118,193353.0,0.41953
