district_id,district,state,lon,lat,phh2o,soc,clay,sand,nitrogen
SD000,ANANTAPUR,Andhra Pradesh,77.57123,14.47477,72,180,313,447,131
SD002,EAST GODAVARI,Andhra Pradesh,81.99501,17.19317,66,206,292,395,158
SD003,GUNTUR,Andhra Pradesh,80.08031,16.29243,64,220,322,390,197
SD004,KADAPA,Andhra Pradesh,78.77465,14.45062,73,295,346,385,159
SD005,KRISHNA,Andhra Pradesh,80.78572,16.56394,66,171,272,374,223
SD007,PRAKASAM,Andhra Pradesh,79.50948,15.61129,71,421,330,410,156
SD008,SPSR NELLORE,Andhra Pradesh,79.73461,14.4075,74,590,313,385,178
SD009,SRIKAKULAM,Andhra Pradesh,83.97878,18.57067,64,308,303,349,173
SD010,VISAKHAPATANAM,Andhra Pradesh,82.68205,17.8844,59,397,276,437,452
SD011,VIZIANAGARAM,Andhra Pradesh,83.36377,18.46477,63,240,333,380,167
SD012,WEST GODAVARI,Andhra Pradesh,81.39223,16.88693,64,244,296,423,164
SD013,ARIYALUR,Tamil Nadu,79.22811,11.14662,70,374,335,363,245
SD016,COIMBATORE,Tamil Nadu,77.07193,10.83657,74,249,295,452,247
SD017,CUDDALORE,Tamil Nadu,79.44547,11.52522,69,363,326,385,241
SD018,DHARMAPURI,Tamil Nadu,78.09772,12.29548,67,232,315,390,193
SD019,DINDIGUL,Tamil Nadu,77.80489,10.37923,63,470,314,430,281
SD020,ERODE,Tamil Nadu,77.44716,11.31897,74,314,292,377,185
SD022,KANCHEEPURAM,Tamil Nadu,79.93673,12.68029,70,336,342,359,220
SD023,KANNIYAKUMARI,Tamil Nadu,77.34619,8.30591,60,426,377,350,378
SD024,KARUR,Tamil Nadu,78.11844,10.83178,74,343,272,388,217
SD026,MADURAI,Tamil Nadu,77.98925,9.90988,76,251,263,539,236
SD028,NAGAPATTINAM,Tamil Nadu,79.63351,10.76526,69,317,320,331,315
SD029,NAMAKKAL,Tamil Nadu,78.1223,11.30526,72,256,282,361,226
SD030,PERAMBALUR,Tamil Nadu,78.87784,11.26052,73,287,320,374,221
SD031,PUDUKKOTTAI,Tamil Nadu,78.86675,10.34202,72,334,328,369,214
SD032,RAMANATHAPURAM,Tamil Nadu,78.67954,9.44271,71,537,322,348,263
SD035,SIVAGANGAI,Tamil Nadu,78.57578,9.90705,69,394,325,367,277
SD037,THANJAVUR,Tamil Nadu,79.22358,10.65492,72,317,376,344,242
SD038,THE NILGIRIS,Tamil Nadu,76.63283,11.44837,58,690,319,367,345
SD039,THENI,Tamil Nadu,77.42388,9.88066,68,290,311,434,274
SD040,THIRUVALLUR,Tamil Nadu,79.92589,13.23064,69,333,301,358,205
SD041,THOOTHUKUDI,Tamil Nadu,77.98878,8.87613,77,531,313,438,219
SD042,TIRUCHIRAPALLI,Tamil Nadu,78.55484,10.8767,71,280,387,349,205
SD043,TIRUNELVELI,Tamil Nadu,77.52329,8.78976,66,414,357,385,209
SD046,TIRUVALLUR,Tamil Nadu,79.92589,13.23064,69,333,301,358,205
SD047,TIRUVANNAMALAI,Tamil Nadu,79.15428,12.41867,70,300,307,390,242
SD049,VELLORE,Tamil Nadu,78.9977,12.80079,66,361,292,404,282
SD050,VILLUPURAM,Tamil Nadu,79.28477,11.96057,69,320,324,380,182
SD051,VIRUDHUNAGAR,Tamil Nadu,77.89437,9.48066,74,268,351,396,309
SD052,ADILABAD,Telangana,78.96704,19.2551,71,134,389,262,144
SD054,KARIMNAGAR,Telangana,79.23498,18.54634,71,153,371,284,149
SD055,KHAMMAM,Telangana,80.67885,17.58961,62,193,252,365,153
SD056,MAHBUBNAGAR,Telangana,78.14067,16.49336,66,157,318,388,145
SD058,NALGONDA,Telangana,79.28164,17.06175,69,168,277,449,139
SD059,NIZAMABAD,Telangana,78.13918,18.52389,74,160,364,400,141
SD060,RANGAREDDI,Telangana,78.17218,17.28431,71,157,292,430,141
SD061,WARANGAL,Telangana,79.79126,17.94984,67,177,299,360,172
