date,temp_c,precip_mm,humidity_pct,wind_speed_ms
2000-01-01,24.722,0.0,49.27,1.159
2000-01-02,24.857,0.002,49.91,1.027
2000-01-03,24.57,0.0,48.91,1.265
2000-01-04,24.264,0.002,43.17,1.409
2000-01-05,24.141,0.003,43.83,1.557
2000-01-06,23.901,0.0,41.29,1.683
2000-01-07,23.537,0.001,35.58,1.685
2000-01-08,23.918,0.001,37.45,1.5
2000-01-09,24.462,0.002,46.36,0.845
2000-01-10,25.032,0.0,51.61,0.614
2000-01-11,25.664,0.018,54.93,0.667
2000-01-12,24.821,0.002,59.0,1.966
2000-01-13,24.715,0.003,58.71,1.926
2000-01-14,24.415,0.001,56.06,1.829
2000-01-15,23.472,0.0,50.38,1.702
2000-01-16,24.656,0.001,52.33,1.068
2000-01-17,26.182,0.001,54.7,0.55
2000-01-18,26.708,0.001,39.28,1.21
2000-01-19,27.127,0.001,44.53,1.685
2000-01-20,25.924,0.0,46.99,1.625
2000-01-21,24.273,0.002,50.08,1.685
2000-01-22,23.796,0.001,49.46,2.403
2000-01-23,23.202,0.002,55.1,1.867
2000-01-24,24.25,0.001,44.57,1.322
2000-01-25,24.997,0.001,42.04,1.093
2000-01-26,25.193,0.001,49.54,0.492
2000-01-27,25.304,0.0,49.12,0.575
2000-01-28,25.736,0.001,46.99,0.753
2000-01-29,25.967,0.0,43.29,1.485
2000-01-30,26.075,0.001,41.23,1.496
2000-01-31,25.391,0.001,46.21,0.978
2000-02-01,23.611,0.003,56.2,1.35
2000-02-02,22.376,0.001,60.47,1.37
2000-02-03,22.752,0.002,61.58,2.022
2000-02-04,23.701,0.0,57.69,1.693
2000-02-05,22.33,0.005,65.59,1.84
2000-02-06,21.851,0.004,65.42,1.501
2000-02-07,21.942,0.001,66.97,1.415
2000-02-08,21.989,0.002,52.89,1.658
2000-02-09,22.718,0.001,55.15,0.379
2000-02-10,23.206,0.003,58.38,1.078
2000-02-11,22.152,0.002,61.11,1.74
2000-02-12,21.631,0.001,57.39,1.535
2000-02-13,23.061,0.001,55.38,0.895
2000-02-14,24.986,0.0,55.44,0.566
2000-02-15,26.604,0.003,55.97,0.228
2000-02-16,26.118,0.005,56.68,1.614
2000-02-17,24.817,0.001,41.72,1.819
2000-02-18,24.329,0.002,42.25,0.815
2000-02-19,22.957,0.003,54.46,1.336
2000-02-20,21.276,0.028,64.92,1.412
2000-02-21,21.412,0.005,60.96,0.508
2000-02-22,22.04,0.003,61.8,0.56
2000-02-23,23.23,0.001,58.23,0.545
2000-02-24,24.101,0.002,60.24,0.835
2000-02-25,24.196,0.013,69.46,1.089
2000-02-26,25.414,0.0,52.57,1.392
2000-02-27,26.502,0.001,49.12,1.21
2000-02-28,27.7,0.002,39.39,1.661
2000-02-29,27.587,0.0,34.17,1.43
2000-03-01,27.38,0.001,39.7,0.262
2000-03-02,26.768,0.0,41.02,1.538
2000-03-03,26.416,0.001,38.54,2.127
2000-03-04,25.175,0.002,39.89,2.078
2000-03-05,24.294,0.001,49.11,1.835
2000-03-06,23.482,0.001,53.19,1.65
2000-03-07,22.853,0.001,61.1,2.154
2000-03-08,23.754,0.0,47.8,1.386
2000-03-09,24.209,0.001,43.82,0.918
2000-03-10,24.322,0.001,41.31,1.334
2000-03-11,25.234,0.003,47.4,1.694
2000-03-12,24.593,0.002,56.14,1.684
2000-03-13,23.593,0.017,65.88,1.226
2000-03-14,23.595,0.001,60.05,1.657
2000-03-15,24.53,0.002,50.35,1.674
2000-03-16,24.463,0.0,48.53,2.174
2000-03-17,24.986,0.001,50.52,1.665
2000-03-18,25.173,0.0,54.94,1.7
2000-03-19,26.185,0.0,52.78,1.614
2000-03-20,27.608,0.0,36.07,1.521
2000-03-21,26.902,0.002,43.8,1.117
2000-03-22,26.154,0.001,47.97,1.864
2000-03-23,27.704,0.001,38.11,1.302
2000-03-24,28.959,0.002,36.45,0.764
2000-03-25,28.612,0.365,50.38,0.32
2000-03-26,28.009,0.112,59.87,0.681
2000-03-27,27.969,0.013,55.77,0.741
2000-03-28,27.968,0.061,61.76,1.096
2000-03-29,28.365,0.895,68.13,0.783
2000-03-30,28.261,0.109,68.01,1.304
2000-03-31,27.393,0.013,68.87,0.921
2000-04-01,28.351,0.0,59.35,0.801
2000-04-02,27.799,0.031,70.8,1.307
2000-04-03,28.005,0.051,72.68,1.353
2000-04-04,27.925,0.349,72.29,1.491
2000-04-05,27.812,0.131,68.67,1.435
2000-04-06,28.041,0.048,64.27,1.612
2000-04-07,28.237,0.102,68.95,1.389
2000-04-08,28.005,0.171,72.19,1.372
2000-04-09,28.425,0.129,69.05,1.559
2000-04-10,28.27,0.016,65.39,1.826
2000-04-11,28.533,0.001,54.8,2.055
2000-04-12,27.323,0.009,67.91,1.558
2000-04-13,27.047,0.047,68.31,1.642
2000-04-14,27.02,0.027,68.65,1.875
2000-04-15,27.185,0.098,68.45,2.243
2000-04-16,27.105,0.068,69.05,2.239
2000-04-17,27.424,0.081,68.69,2.247
2000-04-18,27.776,0.147,70.87,1.742
2000-04-19,28.582,0.591,68.97,1.471
2000-04-20,28.419,0.194,70.56,1.61
2000-04-21,27.972,0.175,69.82,1.912
2000-04-22,28.158,0.038,67.45,2.56
2000-04-23,28.276,0.241,66.84,2.604
2000-04-24,27.535,0.018,67.49,2.63
2000-04-25,27.493,0.015,65.38,2.918
2000-04-26,27.383,0.01,67.2,2.796
2000-04-27,27.411,0.021,68.44,2.857
2000-04-28,27.25,0.079,70.89,2.802
2000-04-29,27.236,0.053,70.85,2.699
2000-04-30,27.987,0.054,66.08,2.611
2000-05-01,27.413,0.113,70.28,2.405
2000-05-02,27.225,0.118,68.28,2.18
2000-05-03,27.413,0.028,67.77,2.279
2000-05-04,27.787,0.021,65.92,2.368
2000-05-05,28.331,0.114,66.97,2.069
2000-05-06,28.719,0.472,69.81,1.48
2000-05-07,28.257,0.893,72.25,1.628
2000-05-08,27.533,0.339,69.1,1.365
2000-05-09,27.685,0.024,65.66,1.561
2000-05-10,27.776,0.11,67.66,1.836
2000-05-11,27.497,0.051,65.28,1.708
2000-05-12,27.447,0.074,66.17,1.624
2000-05-13,27.689,0.072,64.49,1.301
2000-05-14,27.847,1.352,69.1,1.669
2000-05-15,26.534,7.413,81.33,2.679
2000-05-16,26.182,4.722,85.04,2.88
2000-05-17,25.256,19.675,87.59,3.528
2000-05-18,24.364,39.5,94.17,2.634
2000-05-19,26.202,7.601,87.39,2.458
2000-05-20,26.73,3.616,82.63,2.165
2000-05-21,26.44,4.161,86.44,1.732
2000-05-22,26.552,3.041,86.07,1.58
2000-05-23,26.556,3.7,86.44,1.644
2000-05-24,26.791,3.597,85.32,1.683
2000-05-25,26.252,7.068,88.24,1.812
2000-05-26,26.396,6.69,86.57,1.777
2000-05-27,25.532,15.93,89.79,1.778
2000-05-28,25.904,7.139,85.1,2.531
2000-05-29,25.929,7.634,85.33,2.767
2000-05-30,25.869,8.627,89.27,1.629
2000-05-31,26.122,8.297,86.23,1.96
2000-06-01,25.405,22.157,89.31,1.678
2000-06-02,24.191,53.646,96.11,1.24
2000-06-03,25.167,28.118,91.53,0.948
2000-06-04,25.569,13.465,90.37,1.045
2000-06-05,25.391,29.67,92.04,0.581
2000-06-06,24.966,48.298,93.6,1.527
2000-06-07,25.431,105.6,91.02,1.881
2000-06-08,24.248,119.118,95.34,2.781
2000-06-09,24.446,84.907,95.69,1.716
2000-06-10,24.269,35.365,96.37,0.742
2000-06-11,25.07,5.579,92.65,1.711
2000-06-12,25.281,6.734,90.18,2.512
2000-06-13,24.889,9.806,90.54,2.682
2000-06-14,24.567,9.993,91.63,2.527
2000-06-15,25.148,7.166,91.23,2.538
2000-06-16,25.63,7.613,89.86,2.782
2000-06-17,25.339,7.033,90.17,2.707
2000-06-18,25.27,6.288,90.63,2.389
2000-06-19,24.711,5.304,91.1,1.687
2000-06-20,25.902,2.106,82.57,1.779
2000-06-21,25.844,4.55,88.47,1.955
2000-06-22,25.281,5.94,90.56,1.973
2000-06-23,25.095,4.326,90.56,1.465
2000-06-24,25.224,5.264,90.58,1.65
2000-06-25,25.341,6.194,90.17,1.728
2000-06-26,24.858,6.817,90.16,1.989
2000-06-27,24.515,9.071,90.38,2.054
2000-06-28,24.231,12.39,90.96,2.008
2000-06-29,23.679,24.978,95.61,1.688
2000-06-30,23.484,62.227,94.46,2.603
2000-07-01,24.15,13.783,92.15,2.672
2000-07-02,24.161,13.493,91.75,2.537
2000-07-03,24.09,17.459,92.41,2.139
2000-07-04,24.067,29.343,93.43,2.434
2000-07-05,24.49,23.387,92.16,2.237
2000-07-06,24.161,22.611,93.4,2.165
2000-07-07,24.333,50.005,92.69,2.816
2000-07-08,23.602,61.687,95.21,3.477
2000-07-09,23.755,59.631,94.88,4.435
2000-07-10,23.606,44.992,95.66,3.804
2000-07-11,23.672,68.197,95.41,4.034
2000-07-12,23.546,85.392,95.78,4.302
2000-07-13,23.512,39.927,95.74,4.243
2000-07-14,23.633,29.441,93.87,4.223
2000-07-15,24.307,20.14,91.36,3.819
2000-07-16,24.205,21.818,91.5,3.709
2000-07-17,24.221,19.912,91.77,4.125
2000-07-18,23.762,23.97,93.72,3.767
2000-07-19,23.728,17.315,92.65,3.255
2000-07-20,23.623,13.101,92.22,2.666
2000-07-21,24.146,11.862,90.55,2.434
2000-07-22,24.605,5.627,88.48,1.894
2000-07-23,24.813,5.385,86.23,2.057
2000-07-24,24.642,4.52,88.64,1.643
2000-07-25,24.593,4.239,89.74,1.511
2000-07-26,24.492,4.352,88.61,1.676
2000-07-27,24.138,5.764,89.66,1.607
2000-07-28,24.78,4.762,88.73,1.673
2000-07-29,25.052,3.296,87.17,1.445
2000-07-30,25.157,3.14,85.34,1.481
2000-07-31,25.302,2.392,82.31,1.567
2000-08-01,25.1,3.372,85.41,1.346
2000-08-02,25.308,3.008,85.79,1.352
2000-08-03,25.336,3.823,86.54,1.592
2000-08-04,25.589,2.212,84.96,2.018
2000-08-05,26.155,0.415,81.93,2.185
2000-08-06,26.13,0.713,81.43,2.054
2000-08-07,25.441,3.443,86.17,1.508
2000-08-08,24.441,6.475,91.21,1.467
2000-08-09,23.518,13.373,94.2,1.338
2000-08-10,22.917,54.476,96.23,2.003
2000-08-11,23.358,69.086,96.13,3.31
2000-08-12,24.177,15.866,92.52,2.866
2000-08-13,24.779,4.529,90.74,1.574
2000-08-14,25.356,3.035,85.66,1.402
2000-08-15,24.771,4.374,90.19,1.718
2000-08-16,24.518,5.94,90.38,2.113
2000-08-17,23.957,8.237,91.37,2.043
2000-08-18,24.041,16.128,92.45,2.023
2000-08-19,24.178,10.619,92.02,2.541
2000-08-20,23.476,13.731,93.68,2.497
2000-08-21,23.193,30.515,95.38,2.75
2000-08-22,24.018,29.413,93.14,2.875
2000-08-23,23.936,69.707,94.95,2.422
2000-08-24,24.366,22.983,90.42,2.069
2000-08-25,23.959,74.734,95.07,4.048
2000-08-26,23.773,30.759,94.29,3.663
2000-08-27,23.76,29.448,93.61,3.172
2000-08-28,23.332,35.096,95.92,2.838
2000-08-29,23.532,16.564,93.8,2.289
2000-08-30,23.812,23.907,92.71,3.048
2000-08-31,23.949,37.519,92.8,3.415
2000-09-01,23.692,36.261,93.34,3.449
2000-09-02,23.945,19.455,92.93,3.003
2000-09-03,24.192,8.27,90.94,2.557
2000-09-04,24.555,5.539,89.54,2.125
2000-09-05,24.226,4.874,90.91,1.834
2000-09-06,24.41,4.166,90.18,1.615
2000-09-07,24.365,2.743,90.62,1.137
