date,temp_c,precip_mm,humidity_pct,wind_speed_ms
2019-01-01,19.927,0.0,49.78,2.045
2019-01-02,19.677,0.001,55.64,2.17
2019-01-03,20.242,0.0,48.25,1.998
2019-01-04,20.201,0.001,52.7,2.408
2019-01-05,20.224,0.0,56.11,2.014
2019-01-06,20.565,0.002,56.29,1.926
2019-01-07,20.821,0.003,56.86,1.632
2019-01-08,21.665,0.001,42.16,1.966
2019-01-09,21.493,0.0,39.51,1.886
2019-01-10,21.398,0.001,46.98,1.958
2019-01-11,21.639,0.009,53.25,1.774
2019-01-12,21.555,0.001,53.82,2.021
2019-01-13,21.585,0.002,49.43,1.892
2019-01-14,21.519,0.002,49.53,1.984
2019-01-15,21.094,0.0,39.16,2.14
2019-01-16,21.357,0.001,45.37,2.04
2019-01-17,21.691,0.002,56.14,2.02
2019-01-18,21.756,0.011,54.68,2.097
2019-01-19,21.512,0.001,47.45,2.146
2019-01-20,21.302,0.001,46.74,2.061
2019-01-21,21.155,0.002,45.2,1.861
2019-01-22,21.683,0.015,48.98,1.457
2019-01-23,23.082,0.01,55.16,1.493
2019-01-24,23.58,0.023,57.01,1.861
2019-01-25,23.605,0.024,60.97,1.962
2019-01-26,23.752,0.286,65.86,1.776
2019-01-27,22.781,2.08,72.41,1.77
2019-01-28,21.879,3.643,76.03,1.322
2019-01-29,22.199,0.335,64.57,2.366
2019-01-30,22.515,0.017,57.95,2.452
2019-01-31,22.245,0.07,58.07,2.601
2019-02-01,22.576,0.019,55.35,2.036
2019-02-02,23.017,0.003,52.65,1.793
2019-02-03,23.257,0.005,55.45,2.273
2019-02-04,23.71,0.013,58.01,2.691
2019-02-05,23.697,0.012,58.49,2.307
2019-02-06,24.459,0.0,48.25,2.013
2019-02-07,25.061,0.005,48.52,1.854
2019-02-08,25.774,0.093,56.17,1.401
2019-02-09,25.284,1.257,63.89,1.509
2019-02-10,25.653,0.22,60.33,2.575
2019-02-11,24.421,0.136,60.84,3.119
2019-02-12,23.574,0.005,57.68,3.038
2019-02-13,23.647,0.001,51.95,2.461
2019-02-14,24.491,0.001,55.82,2.486
2019-02-15,25.169,0.036,58.23,1.574
2019-02-16,26.605,0.037,54.41,0.809
2019-02-17,27.364,0.024,45.41,0.955
2019-02-18,27.118,0.464,49.27,0.783
2019-02-19,26.313,0.417,62.49,2.391
2019-02-20,25.389,0.019,56.0,2.764
2019-02-21,24.834,0.012,46.92,2.511
2019-02-22,24.794,0.002,33.1,2.437
2019-02-23,25.735,0.003,26.66,2.181
2019-02-24,26.012,0.002,30.25,2.073
2019-02-25,26.356,0.001,28.36,1.685
2019-02-26,27.017,0.003,39.58,1.1
2019-02-27,27.372,0.022,48.19,1.184
2019-02-28,27.685,0.013,42.16,0.295
2019-03-01,26.835,0.531,59.38,2.293
2019-03-02,25.987,0.048,57.89,2.568
2019-03-03,26.484,0.002,52.74,1.771
2019-03-04,27.351,0.012,50.73,1.505
2019-03-05,28.182,0.26,49.82,1.031
2019-03-06,29.631,0.001,38.8,0.581
2019-03-07,29.527,0.0,35.66,0.812
2019-03-08,28.878,0.004,43.01,1.169
2019-03-09,27.224,0.454,56.28,1.564
2019-03-10,27.906,0.029,50.6,2.002
2019-03-11,27.365,0.003,42.62,2.24
2019-03-12,27.236,0.0,34.62,2.481
2019-03-13,26.856,0.0,32.74,2.547
2019-03-14,27.271,0.001,30.98,2.534
2019-03-15,27.137,0.003,29.51,2.623
2019-03-16,25.971,0.003,37.23,2.497
2019-03-17,25.657,0.005,41.52,1.993
2019-03-18,26.67,0.002,47.07,1.822
2019-03-19,27.644,0.002,47.7,1.741
2019-03-20,27.557,0.002,46.57,2.12
2019-03-21,27.756,0.0,39.06,1.815
2019-03-22,28.231,0.003,43.82,1.628
2019-03-23,29.004,0.003,42.5,1.543
2019-03-24,29.063,-0.0,42.88,1.731
2019-03-25,28.584,0.0,37.62,2.382
2019-03-26,28.405,0.0,34.94,2.179
2019-03-27,28.581,0.001,27.84,1.612
2019-03-28,29.346,0.0,29.7,1.688
2019-03-29,29.694,0.002,33.52,1.377
2019-03-30,29.612,0.001,31.33,1.639
2019-03-31,29.89,0.0,29.14,1.085
2019-04-01,29.713,0.002,31.48,1.514
2019-04-02,29.365,0.002,38.32,1.688
2019-04-03,28.409,0.007,44.58,2.244
2019-04-04,28.373,0.001,39.02,2.301
2019-04-05,28.898,0.002,36.53,1.534
2019-04-06,29.335,0.002,31.1,1.595
2019-04-07,29.659,-0.0,35.36,1.744
2019-04-08,29.652,0.027,40.9,1.72
2019-04-09,29.312,0.545,46.66,0.923
2019-04-10,29.495,0.068,42.4,2.007
2019-04-11,29.816,0.033,39.45,1.574
2019-04-12,30.138,0.001,36.15,1.796
2019-04-13,29.718,0.0,37.02,1.966
2019-04-14,29.529,0.001,36.79,2.03
2019-04-15,29.474,0.0,32.4,1.457
2019-04-16,30.276,0.002,37.43,1.37
2019-04-17,28.624,4.491,57.78,0.542
2019-04-18,28.559,5.403,60.84,0.789
2019-04-19,28.671,0.939,56.72,1.108
2019-04-20,27.531,8.975,64.64,0.611
2019-04-21,28.522,0.174,55.09,0.59
2019-04-22,27.596,2.575,62.59,0.409
2019-04-23,27.394,1.758,62.59,0.74
2019-04-24,28.426,0.001,50.01,1.712
2019-04-25,28.894,0.001,41.75,1.453
2019-04-26,29.537,0.0,42.08,1.386
2019-04-27,29.642,0.013,43.95,1.599
2019-04-28,29.445,0.017,45.69,1.542
2019-04-29,29.233,0.445,51.1,0.65
2019-04-30,28.189,9.341,61.82,2.604
2019-05-01,27.927,1.671,64.29,3.574
2019-05-02,29.638,0.002,45.04,3.502
2019-05-03,29.365,0.001,44.13,3.169
2019-05-04,29.242,0.082,48.28,1.835
2019-05-05,30.285,0.046,43.25,0.847
2019-05-06,30.607,0.219,45.48,0.954
2019-05-07,28.023,7.888,63.2,2.021
2019-05-08,27.342,5.209,67.0,3.253
2019-05-09,28.544,0.566,57.6,2.556
2019-05-10,29.928,0.165,48.46,0.852
2019-05-11,28.854,3.61,59.38,1.644
2019-05-12,29.016,1.884,56.92,1.284
2019-05-13,28.295,3.584,63.51,1.797
2019-05-14,28.35,1.09,62.5,1.522
2019-05-15,27.711,4.699,67.21,1.336
2019-05-16,28.309,1.363,63.17,0.941
2019-05-17,27.881,2.931,67.91,1.202
2019-05-18,29.268,0.136,56.46,0.486
2019-05-19,29.864,0.301,49.67,0.457
2019-05-20,29.847,0.093,46.75,0.505
2019-05-21,29.674,0.019,46.79,0.353
2019-05-22,29.631,0.327,52.87,0.215
2019-05-23,29.464,1.038,55.7,0.837
2019-05-24,29.212,0.582,57.13,1.449
2019-05-25,28.25,8.197,65.59,2.028
2019-05-26,28.245,5.225,66.53,2.187
2019-05-27,29.514,0.333,58.35,1.476
2019-05-28,28.912,6.578,64.4,1.638
2019-05-29,28.304,9.378,67.87,1.572
2019-05-30,27.615,17.508,72.31,1.484
2019-05-31,27.166,5.29,73.09,2.429
2019-06-01,27.457,7.937,70.2,1.732
2019-06-02,27.296,13.926,73.46,2.577
2019-06-03,26.186,5.13,76.0,2.82
2019-06-04,27.325,1.239,69.24,1.822
2019-06-05,26.496,12.216,76.78,1.306
2019-06-06,27.967,1.27,69.63,1.002
2019-06-07,27.634,3.118,70.81,1.558
2019-06-08,26.84,5.488,74.92,1.695
2019-06-09,27.462,1.172,67.09,2.058
2019-06-10,26.178,3.647,72.57,2.674
2019-06-11,26.834,0.095,67.21,3.61
2019-06-12,26.762,0.254,67.24,4.719
2019-06-13,26.381,0.892,67.8,4.388
2019-06-14,26.273,0.631,68.05,4.007
2019-06-15,27.347,0.08,61.76,4.061
2019-06-16,27.578,0.062,60.79,3.844
2019-06-17,27.314,0.043,60.25,3.782
2019-06-18,27.265,0.157,60.19,3.868
2019-06-19,26.959,2.206,65.09,3.931
2019-06-20,26.555,2.564,66.4,4.24
2019-06-21,25.444,2.065,71.64,3.911
2019-06-22,25.657,0.511,69.97,4.331
2019-06-23,26.689,0.585,65.34,3.859
2019-06-24,26.446,4.322,68.25,2.922
2019-06-25,26.448,5.193,68.65,2.868
2019-06-26,26.23,1.018,68.12,3.524
2019-06-27,26.806,0.252,61.04,4.383
2019-06-28,26.955,0.048,57.92,4.989
2019-06-29,27.115,0.019,58.18,4.884
2019-06-30,26.545,0.157,61.23,5.047
2019-07-01,27.423,0.165,58.61,4.55
2019-07-02,26.96,0.64,62.78,4.304
2019-07-03,26.734,0.293,63.67,4.526
