date,temp_c,precip_mm,humidity_pct,wind_speed_ms
2009-01-01,23.213,0.0,42.24,2.27
2009-01-02,23.474,0.0,49.71,2.985
2009-01-03,23.454,0.001,50.75,2.651
2009-01-04,23.671,0.001,49.6,1.451
2009-01-05,23.893,0.0,46.8,1.344
2009-01-06,24.699,0.003,43.77,1.954
2009-01-07,24.143,0.0,39.15,4.25
2009-01-08,24.471,0.003,44.38,3.819
2009-01-09,24.671,0.002,53.93,3.366
2009-01-10,24.945,0.0,50.22,3.908
2009-01-11,24.671,0.0,49.66,3.749
2009-01-12,24.858,0.001,44.54,3.52
2009-01-13,24.544,0.0,43.11,3.87
2009-01-14,24.376,0.001,45.42,3.487
2009-01-15,24.363,0.0,45.96,3.615
2009-01-16,24.147,0.002,40.5,3.798
2009-01-17,23.942,0.002,45.39,2.649
2009-01-18,24.285,0.001,44.16,3.161
2009-01-19,24.283,0.002,41.49,2.837
2009-01-20,24.632,0.0,35.96,3.225
2009-01-21,24.894,0.001,37.02,2.793
2009-01-22,25.156,0.001,36.09,2.564
2009-01-23,25.335,0.001,29.46,2.866
2009-01-24,25.908,0.003,30.13,2.486
2009-01-25,26.305,0.002,33.68,2.66
2009-01-26,26.229,0.003,30.25,3.375
2009-01-27,25.847,0.002,31.25,1.986
2009-01-28,26.134,0.0,23.86,2.387
2009-01-29,26.25,0.003,24.72,2.314
2009-01-30,26.827,0.001,24.51,2.838
2009-01-31,27.27,0.0,29.63,1.423
2009-02-01,27.676,0.001,31.1,0.854
2009-02-02,27.4,0.001,33.8,1.022
2009-02-03,27.393,0.001,33.0,0.922
2009-02-04,27.499,0.0,30.07,1.23
2009-02-05,26.766,0.001,25.17,1.806
2009-02-06,27.018,0.001,33.04,2.15
2009-02-07,28.171,0.0,35.56,2.752
2009-02-08,28.432,0.005,35.36,2.754
2009-02-09,27.989,0.0,34.6,2.601
2009-02-10,27.406,0.0,28.9,1.265
2009-02-11,26.052,0.001,29.26,2.551
2009-02-12,26.448,0.0,31.6,1.618
2009-02-13,27.117,0.003,29.97,2.041
2009-02-14,27.613,0.002,28.36,2.498
2009-02-15,27.832,0.001,30.15,2.765
2009-02-16,28.631,0.0,30.31,3.514
2009-02-17,28.317,0.002,31.96,2.788
2009-02-18,28.831,0.0,30.0,1.933
2009-02-19,29.133,0.0,28.36,2.312
2009-02-20,28.478,0.0,27.96,4.265
2009-02-21,28.502,0.001,27.26,2.931
2009-02-22,29.125,0.0,28.41,1.632
2009-02-23,29.743,0.001,27.07,0.682
2009-02-24,29.993,0.001,22.33,3.253
2009-02-25,29.467,0.001,20.42,2.559
2009-02-26,29.737,0.002,19.67,1.999
2009-02-27,30.235,0.001,21.01,2.132
2009-02-28,30.478,0.001,18.78,2.637
2009-03-01,30.612,0.001,18.74,4.011
2009-03-02,30.664,0.002,18.76,3.387
2009-03-03,30.501,0.0,19.07,1.841
2009-03-04,30.593,0.002,18.76,0.599
2009-03-05,30.847,0.001,18.11,2.476
2009-03-06,31.169,0.0,17.38,2.155
