date,temp_c,precip_mm,humidity_pct,wind_speed_ms
2009-01-01,21.103,0.0,42.52,1.129
2009-01-02,21.329,0.0,44.65,1.781
2009-01-03,22.43,0.001,48.95,1.127
2009-01-04,23.344,0.001,50.34,0.437
2009-01-05,23.65,0.0,50.83,1.171
2009-01-06,23.449,0.003,48.02,1.096
2009-01-07,23.39,0.094,53.18,1.091
2009-01-08,24.436,0.001,45.07,2.073
2009-01-09,24.124,0.001,50.16,1.851
2009-01-10,24.388,0.085,53.12,1.301
2009-01-11,24.209,0.003,53.24,1.914
2009-01-12,24.669,0.001,49.62,1.881
2009-01-13,24.961,0.0,44.36,1.921
2009-01-14,24.963,0.001,46.53,1.955
2009-01-15,24.592,0.0,44.29,2.278
2009-01-16,24.344,0.002,44.76,2.116
2009-01-17,23.716,0.002,39.94,1.633
2009-01-18,23.567,0.001,36.54,1.653
2009-01-19,23.982,0.002,37.97,1.541
2009-01-20,24.0,0.0,40.12,1.464
2009-01-21,23.715,0.001,42.84,1.073
2009-01-22,23.584,0.001,39.24,0.793
2009-01-23,24.139,0.001,34.38,0.603
2009-01-24,24.912,0.003,29.31,0.731
2009-01-25,26.325,0.002,32.3,0.21
2009-01-26,26.037,0.003,37.29,1.163
2009-01-27,25.58,0.002,41.57,1.725
2009-01-28,26.16,0.0,36.1,0.405
2009-01-29,27.241,0.003,30.28,0.981
2009-01-30,27.383,0.001,31.13,0.908
2009-01-31,26.73,0.0,34.82,1.227
2009-02-01,26.538,0.001,35.1,0.801
2009-02-02,26.065,0.001,30.48,0.681
2009-02-03,26.052,0.001,31.4,0.642
2009-02-04,26.345,0.0,33.34,0.532
2009-02-05,25.525,0.001,31.45,2.344
2009-02-06,25.336,0.001,34.7,1.705
2009-02-07,25.914,0.0,28.56,1.012
2009-02-08,26.036,0.005,28.48,0.873
2009-02-09,26.739,0.0,29.31,1.171
2009-02-10,26.59,0.002,32.31,2.295
2009-02-11,24.297,0.001,30.73,2.309
2009-02-12,23.765,0.0,28.55,1.06
2009-02-13,25.603,0.003,29.4,0.268
2009-02-14,25.887,0.002,34.27,1.636
2009-02-15,26.758,0.001,31.59,1.089
2009-02-16,27.421,0.0,29.59,1.216
2009-02-17,27.783,0.002,31.21,0.518
2009-02-18,28.173,0.0,31.07,0.671
2009-02-19,28.52,0.0,29.29,1.479
2009-02-20,29.495,0.0,27.46,1.894
2009-02-21,29.498,0.001,28.23,1.227
2009-02-22,29.633,0.0,29.53,0.033
2009-02-23,29.6,0.001,29.72,2.42
2009-02-24,28.314,0.001,23.56,3.169
2009-02-25,27.662,0.001,28.77,2.635
2009-02-26,28.736,0.002,28.06,2.142
2009-02-27,29.453,0.001,23.69,2.609
2009-02-28,29.001,0.001,22.3,2.543
2009-03-01,29.674,0.001,22.64,1.254
2009-03-02,30.294,0.002,21.58,1.636
2009-03-03,30.596,0.0,19.31,2.051
2009-03-04,30.367,0.002,16.99,2.426
2009-03-05,29.371,0.001,17.9,2.754
2009-03-06,29.704,0.0,17.84,2.657
2009-03-07,29.52,0.002,19.67,2.549
2009-03-08,30.388,0.321,19.93,1.007
2009-03-09,31.056,0.799,27.3,0.332
2009-03-10,30.675,0.0,22.88,1.622
2009-03-11,30.211,0.012,26.73,0.727
2009-03-12,30.246,0.001,22.32,1.413
2009-03-13,30.724,0.043,23.29,0.312
2009-03-14,28.647,0.153,32.6,0.834
2009-03-15,28.279,0.3,34.88,0.21
2009-03-16,28.72,0.001,25.51,0.919
2009-03-17,29.535,0.002,18.6,1.604
2009-03-18,30.632,0.001,18.93,1.586
2009-03-19,30.714,0.001,21.11,2.246
2009-03-20,30.126,0.914,24.91,1.987
2009-03-21,29.94,0.001,19.68,2.369
2009-03-22,29.129,0.001,23.6,1.024
2009-03-23,28.646,0.693,32.97,1.733
2009-03-24,29.739,0.104,31.41,1.001
2009-03-25,29.905,0.0,25.07,2.24
2009-03-26,29.788,0.0,20.34,1.996
2009-03-27,29.938,0.0,21.26,0.856
2009-03-28,31.413,0.001,23.52,2.502
2009-03-29,31.896,0.0,23.3,2.74
2009-03-30,32.267,0.0,17.23,2.713
2009-03-31,32.527,0.002,19.38,1.342
2009-04-01,32.663,-0.0,20.14,0.939
2009-04-02,33.364,0.003,19.56,0.6
2009-04-03,33.658,0.001,19.32,1.229
2009-04-04,33.003,0.0,19.8,2.342
2009-04-05,33.464,0.001,18.56,2.234
2009-04-06,32.105,0.105,23.1,2.729
2009-04-07,32.402,0.486,25.82,0.547
2009-04-08,31.552,0.054,30.25,0.617
2009-04-09,30.353,0.0,22.15,2.074
2009-04-10,31.196,0.001,20.88,1.654
2009-04-11,31.937,0.001,18.14,1.408
2009-04-12,32.924,0.0,14.48,1.33
2009-04-13,33.697,0.0,14.5,0.936
2009-04-14,33.829,0.001,14.95,1.861
2009-04-15,34.705,0.0,18.03,2.793
2009-04-16,34.558,0.001,18.19,3.78
2009-04-17,34.993,0.001,17.31,2.411
2009-04-18,34.787,0.001,14.92,2.649
2009-04-19,34.98,0.001,13.56,1.679
2009-04-20,35.327,0.0,15.13,3.768
2009-04-21,34.079,0.003,21.1,4.322
2009-04-22,33.304,0.0,19.56,3.612
2009-04-23,33.884,0.0,12.81,3.052
2009-04-24,34.125,0.001,12.19,1.968
2009-04-25,34.618,0.003,13.01,1.631
2009-04-26,34.835,0.003,13.99,2.033
2009-04-27,35.06,0.003,11.97,1.463
2009-04-28,35.338,0.003,10.7,1.503
2009-04-29,36.465,0.001,11.41,2.32
2009-04-30,36.962,0.001,12.52,3.135
2009-05-01,36.596,0.0,15.18,3.975
2009-05-02,36.063,0.005,18.0,3.441
2009-05-03,35.759,0.001,15.02,3.638
2009-05-04,35.358,0.002,16.7,3.12
2009-05-05,35.361,0.003,17.81,2.853
2009-05-06,35.189,0.0,18.61,3.617
2009-05-07,35.43,0.002,17.56,2.865
2009-05-08,35.886,0.0,16.06,3.045
2009-05-09,36.046,0.0,15.52,3.601
2009-05-10,35.565,0.002,13.87,4.232
2009-05-11,34.9,0.0,19.29,3.951
2009-05-12,35.497,0.001,25.51,3.656
2009-05-13,36.327,0.029,26.0,2.86
2009-05-14,35.524,1.364,30.62,2.346
2009-05-15,36.128,0.014,26.6,3.382
2009-05-16,35.765,0.08,29.87,3.457
2009-05-17,35.206,1.335,34.66,1.71
2009-05-18,34.019,0.519,43.43,1.756
2009-05-19,35.058,0.274,39.13,2.626
2009-05-20,34.0,0.826,45.26,2.407
2009-05-21,35.451,0.042,36.31,2.763
2009-05-22,35.58,0.02,32.58,3.805
2009-05-23,35.485,0.576,31.93,3.878
2009-05-24,34.51,0.153,32.72,4.15
