date,temp_c,precip_mm,humidity_pct,wind_speed_ms
2009-01-01,23.275,0.0,44.35,1.96
2009-01-02,23.682,0.0,49.02,3.093
2009-01-03,23.651,0.001,50.05,2.781
2009-01-04,23.819,0.001,49.67,1.557
2009-01-05,24.14,0.0,46.0,1.569
2009-01-06,25.072,0.003,42.74,2.15
2009-01-07,24.354,0.0,38.05,4.324
2009-01-08,24.797,0.002,44.63,4.077
2009-01-09,25.13,0.001,53.11,3.511
2009-01-10,25.296,0.0,49.27,4.136
2009-01-11,24.96,0.0,48.39,3.881
2009-01-12,25.09,0.001,43.54,3.606
2009-01-13,24.702,0.0,42.76,3.898
2009-01-14,24.399,0.001,46.58,3.42
2009-01-15,24.392,0.0,46.29,3.639
2009-01-16,24.303,0.002,40.06,3.826
2009-01-17,24.114,0.002,44.75,2.726
2009-01-18,24.43,0.001,44.17,3.248
2009-01-19,24.429,0.002,42.29,2.868
2009-01-20,24.738,0.0,37.62,3.069
2009-01-21,24.963,0.001,38.69,2.625
2009-01-22,25.23,0.001,36.55,2.411
2009-01-23,25.226,0.001,30.31,2.615
2009-01-24,25.918,0.003,30.72,2.53
2009-01-25,26.472,0.002,33.14,2.804
2009-01-26,26.336,0.003,29.68,3.519
2009-01-27,25.959,0.002,30.47,2.119
2009-01-28,26.297,0.0,22.8,2.605
2009-01-29,26.476,0.003,23.46,2.476
2009-01-30,27.025,0.001,24.14,2.943
2009-01-31,27.419,0.0,29.55,1.683
2009-02-01,28.114,0.001,30.18,0.859
2009-02-02,27.771,0.001,32.88,0.701
2009-02-03,27.758,0.001,32.54,0.729
2009-02-04,27.828,0.0,29.69,1.273
2009-02-05,27.042,0.001,25.3,1.816
2009-02-06,27.365,0.001,32.13,1.702
2009-02-07,28.473,0.0,35.59,2.686
2009-02-08,28.676,0.005,35.03,2.831
2009-02-09,28.194,0.0,33.75,2.791
2009-02-10,27.746,0.0,28.82,1.209
2009-02-11,26.477,0.001,28.88,2.525
2009-02-12,26.876,0.0,31.59,1.283
2009-02-13,27.548,0.003,29.23,2.11
2009-02-14,27.907,0.002,27.75,2.426
2009-02-15,28.254,0.001,29.33,2.392
2009-02-16,28.93,0.0,29.78,3.641
2009-02-17,28.491,0.002,31.69,2.994
2009-02-18,29.114,0.0,29.63,1.965
2009-02-19,29.318,0.0,28.11,2.583
2009-02-20,28.633,0.0,27.22,4.37
2009-02-21,28.747,0.001,26.67,3.072
2009-02-22,29.332,0.0,27.59,1.819
2009-02-23,30.04,0.001,26.51,0.869
2009-02-24,30.391,0.001,22.17,3.147
2009-02-25,29.812,0.001,20.13,2.435
2009-02-26,29.873,0.002,19.87,1.739
2009-02-27,30.316,0.001,20.76,1.785
2009-02-28,30.566,0.001,19.16,2.054
2009-03-01,30.736,0.001,18.55,3.565
2009-03-02,30.666,0.002,18.97,2.927
2009-03-03,30.554,0.0,19.58,1.638
2009-03-04,30.737,0.002,19.2,0.468
2009-03-05,31.086,0.001,18.57,2.38
2009-03-06,31.294,0.0,17.51,1.89
2009-03-07,31.356,0.002,19.0,2.321
2009-03-08,32.04,0.001,21.2,2.635
2009-03-09,31.139,0.002,20.59,3.898
2009-03-10,29.5,0.0,24.1,4.508
2009-03-11,29.67,0.0,30.78,3.408
2009-03-12,30.916,0.001,26.19,3.083
2009-03-13,31.187,0.043,26.41,1.628
2009-03-14,27.975,0.951,39.99,3.299
2009-03-15,28.408,0.136,34.74,0.908
2009-03-16,29.314,0.001,28.0,2.162
2009-03-17,30.444,0.002,23.42,2.479
2009-03-18,31.029,0.001,24.18,1.959
2009-03-19,32.015,0.002,23.82,0.78
2009-03-20,32.104,0.14,21.96,1.852
2009-03-21,30.747,0.001,19.06,3.376
2009-03-22,30.462,0.001,20.94,1.529
2009-03-23,29.688,0.159,32.93,3.252
2009-03-24,29.048,1.016,41.17,1.535
2009-03-25,30.066,0.026,32.05,1.714
2009-03-26,30.912,0.0,24.19,1.761
2009-03-27,32.013,0.0,20.69,1.942
2009-03-28,32.605,0.001,24.07,1.24
2009-03-29,32.74,0.0,23.72,2.499
2009-03-30,32.782,0.0,24.43,2.025
2009-03-31,33.439,0.002,21.75,1.815
2009-04-01,33.19,-0.0,23.8,2.333
2009-04-02,33.479,0.018,23.98,1.917
2009-04-03,33.888,0.025,22.43,2.687
2009-04-04,33.954,0.006,22.62,2.02
2009-04-05,34.345,0.001,22.59,1.131
2009-04-06,34.299,0.031,20.38,4.164
2009-04-07,32.689,0.76,27.85,2.974
2009-04-08,31.102,1.067,36.14,0.877
2009-04-09,32.039,0.0,25.9,2.656
2009-04-10,32.333,0.001,27.68,3.146
2009-04-11,33.235,0.001,25.89,3.122
2009-04-12,34.16,0.0,23.08,2.204
2009-04-13,34.658,0.001,22.23,0.897
2009-04-14,35.029,0.001,18.27,1.716
2009-04-15,35.366,0.022,19.34,2.874
2009-04-16,35.304,0.001,19.18,4.425
2009-04-17,34.711,0.001,17.42,4.601
2009-04-18,35.731,0.001,15.65,2.631
2009-04-19,35.61,0.001,22.76,0.752
2009-04-20,34.33,0.0,26.31,4.656
2009-04-21,33.973,0.003,25.33,5.23
2009-04-22,33.417,0.0,21.47,5.128
2009-04-23,33.901,0.0,18.58,3.773
2009-04-24,35.171,0.001,12.81,3.5
2009-04-25,34.875,0.021,20.26,1.659
2009-04-26,34.338,0.008,22.64,1.639
2009-04-27,35.267,0.003,20.71,0.71
2009-04-28,35.104,0.003,20.51,0.629
2009-04-29,35.323,0.001,23.6,1.964
2009-04-30,34.644,0.001,26.07,2.966
2009-05-01,35.313,0.0,21.31,3.469
2009-05-02,35.299,0.452,22.26,3.868
2009-05-03,35.64,0.001,17.82,4.585
2009-05-04,34.921,0.002,19.39,4.206
2009-05-05,34.022,0.0,24.88,4.229
2009-05-06,34.094,0.048,22.75,3.178
2009-05-07,34.697,0.098,21.16,2.706
2009-05-08,34.961,0.322,22.82,1.918
2009-05-09,35.736,0.0,18.6,3.678
2009-05-10,35.298,0.002,17.52,5.201
2009-05-11,34.894,0.0,19.04,5.437
2009-05-12,34.988,0.001,18.21,4.991
2009-05-13,33.68,0.001,30.16,5.263
2009-05-14,33.328,0.012,33.59,5.634
2009-05-15,31.856,1.363,41.96,3.88
2009-05-16,33.115,1.326,39.63,2.847
2009-05-17,32.144,1.754,45.22,1.215
2009-05-18,31.973,3.636,49.98,2.128
2009-05-19,30.956,14.477,57.1,2.484
2009-05-20,28.297,11.639,70.96,2.907
2009-05-21,29.278,16.472,68.35,3.055
2009-05-22,29.252,0.002,70.67,4.57
2009-05-23,29.684,0.378,61.99,4.751
2009-05-24,29.918,0.134,51.36,5.661
2009-05-25,30.647,0.0,40.28,5.935
2009-05-26,32.059,0.663,40.15,3.474
2009-05-27,32.954,0.351,39.21,3.896
2009-05-28,33.359,0.355,38.27,4.201
2009-05-29,33.384,0.002,35.6,5.803
2009-05-30,32.519,0.001,36.94,5.433
2009-05-31,32.365,0.001,37.66,5.695
2009-06-01,31.486,0.002,44.94,5.407
2009-06-02,31.56,0.044,47.76,5.696
2009-06-03,31.652,0.033,47.92,6.48
2009-06-04,31.436,0.05,48.07,6.945
2009-06-05,30.5,1.19,53.15,5.657
2009-06-06,28.7,16.749,63.66,3.263
2009-06-07,26.346,3.805,76.91,5.341
2009-06-08,27.044,0.073,69.79,5.345
2009-06-09,28.108,0.0,61.8,4.807
2009-06-10,29.109,0.001,56.83,4.734
2009-06-11,29.609,0.427,56.12,4.818
2009-06-12,30.336,0.869,49.33,4.743
2009-06-13,31.333,0.009,43.84,4.017
2009-06-14,31.522,0.007,42.44,4.928
2009-06-15,31.311,0.019,38.88,5.245
2009-06-16,32.14,0.002,40.04,4.769
2009-06-17,32.79,0.006,39.29,4.885
2009-06-18,30.655,5.237,51.96,2.263
2009-06-19,29.516,8.875,64.85,2.88
2009-06-20,28.512,3.567,71.28,3.033
2009-06-21,27.8,0.49,66.67,3.982
2009-06-22,28.091,0.417,64.18,4.996
2009-06-23,28.633,0.308,57.87,5.958
2009-06-24,28.46,1.855,60.08,5.31
2009-06-25,27.736,10.838,66.38,5.5
2009-06-26,27.141,1.597,68.98,5.679
2009-06-27,27.129,3.055,68.48,5.546
2009-06-28,27.348,0.609,67.29,4.833
2009-06-29,28.011,2.888,65.16,4.763
2009-06-30,28.875,0.857,61.53,4.94
2009-07-01,28.09,1.991,65.7,5.231
2009-07-02,27.363,3.581,68.94,7.112
2009-07-03,26.043,1.366,73.93,6.822
