season_start_date,final_yield_t_ha,geographic_level,source_name,source_url_or_id,original_unit,retrieved_date,crop
2015-07-01,2.305,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2016-07-01,2.417,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2017-07-01,2.469,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2018-07-01,2.553,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2019-07-01,2.622,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2020-07-01,2.607,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2021-07-01,2.705,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2022-07-01,2.735,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2023-07-01,2.78,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
2024-07-01,2.825,national,"Government of India, Economic Survey 2025-26, Statistical Appendix, Table 1.17: Yield Per Hectare of Major Crops",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.17.pdf,kg/ha,,rice_west_bengal
